relative_angle_deg,reaction_radial_kn,reaction_tangential_kn,reaction_magnitude_kn
-30.000000000000068,0.007296115147951217,0.0033234737600082945,0.008017404448175664
-29.250000000000064,0.0027145172898153,0.0010834597397239775,0.0029227536886143775
-28.50000000000006,0.0020700601592653174,0.0015202651015879894,0.0025683370187893737
-27.750000000000156,0.0015335378980602726,0.0014361128001897502,0.002100989876143139
-27.000000000000153,0.0011343175062949466,0.001534871764780765,0.0019085354435819121
-26.25000000000025,0.0008452407335417755,0.001632463409302555,0.001838305926757013
-25.500000000000245,0.0006314864002954033,0.0017541925761111396,0.001864394450710869
-24.75000000000024,0.00047486212824666486,0.0018901929072597996,0.0019489287486971413
-24.000000000000288,0.00036455207261553335,0.0020426055600123584,0.002074882090009377
-23.250000000000334,0.0002952325757184279,0.0022122438090560665,0.002231856837808427
-22.50000000000033,0.0002652319140952949,0.002400833021059535,0.0024154393313152184
-21.750000000000377,0.0002756806809193269,0.0026099632650576003,0.002624482440936169
-21.000000000000423,0.0003299911799793154,0.002840944944990584,0.002860045866648242
-20.25000000000042,0.00043351078081284544,0.003094425953155282,0.0031246445520477905
-19.500000000000465,0.0005931941413197099,0.0033700027978591277,0.003421812114490563
-18.75000000000051,0.0008171769748154438,0.0036657379399681134,0.003755717355271851
-18.000000000000508,0.0011141833686389151,0.003977677038335664,0.004130777069784127
-17.250000000000554,0.0014929524790193672,0.00429900061098545,0.004550858529757143
-16.5000000000006,0.00195884290265118,0.004619821359832365,0.005017949273760174
-15.7500000000007,0.0025119165798378946,0.0049283386791958775,0.005531568226183481
-15.000000000000645,0.003146883035896443,0.005212260241711315,0.006088557273191845
-14.25000000000064,0.003854048935575748,0.005459922743710045,0.006683146681399022
-13.500000000000636,0.0046206262788195595,0.005660928587987148,0.007307277173257358
-12.750000000000632,0.005431296684512282,0.005806383253056113,0.007950664761928062
-12.000000000000627,0.006267231598588983,0.0058902305742492425,0.008600756253270567
-11.250000000000675,0.007110573158421082,0.00591060948205147,0.00924638064815499
-10.50000000000067,0.007949474856462855,0.005867840730251288,0.009880572115476468
-9.750000000000563,0.008773970767044776,0.005762349780360653,0.010497010908452878
-9.00000000000056,0.00957432213764741,0.005594930151555671,0.01108922394923252
-8.250000000000556,0.010341366890327063,0.00536709979138028,0.0116511642907903
-7.500000000000552,0.011066680461385233,0.005081180742160479,0.012177430524084635
-6.750000000000547,0.011742704701414999,0.004740297657998984,0.012663393525870724
-6.000000000000543,0.0123627929478331,0.004348323733651334,0.013105211511594437
-5.250000000000538,0.012921264103568213,0.003909791596892062,0.013499834679183602
-4.500000000000535,0.013413389588353053,0.0034297718137563517,0.013844939687242257
-3.750000000000479,0.013835347434580359,0.002913745226990902,0.014138838349856101
-3.0000000000004747,0.014184147312746954,0.0023674779094844506,0.014380368098265204
-2.2500000000004707,0.014457530949874096,0.0017969138617907336,0.014568771416741465
-1.5000000000004665,0.014653875125069729,0.0012080919649646177,0.014703589438533348
-0.7500000000004622,0.01477209370304937,0.0006070908245465929,0.014784563288813083
-4.579998741307465e-13,0.014811566999878924,3.552588119789188e-16,0.014811566999878924
0.7499999999995463,0.014772093703049445,-0.0006070908245459326,0.01478456328881313
1.4999999999995506,0.014653875125069854,-0.0012080919649639194,0.014703589438533416
2.2499999999995546,0.014457530949874925,-0.00179691386178988,0.014568771416742178
2.9999999999996096,0.014184147312747721,-0.0023674779094838244,0.014380368098265853
3.749999999999614,0.013835347434580427,-0.002913745226990138,0.014138838349856011
4.499999999999618,0.013413389588353176,-0.0034297718137558074,0.01384493968724224
5.2499999999996225,0.012921264103568813,-0.003909791596891126,0.013499834679183904
5.999999999999627,0.012362792947833821,-0.0043483237336510066,0.013105211511595008
6.749999999999631,0.011742704701415897,-0.004740297657998448,0.012663393525871357
7.499999999999635,0.011066680461386499,-0.005081180742160306,0.012177430524085714
8.249999999999691,0.01034136689032838,-0.005367099791380421,0.011651164290791535
8.999999999999694,0.009574322137648441,-0.005594930151555779,0.011089223949233463
9.749999999999698,0.008773970767045117,-0.005762349780359688,0.010497010908452635
10.499999999999703,0.007949474856463792,-0.005867840730251084,0.009880572115477099
11.249999999999707,0.007110573158422087,-0.005910609482051464,0.009246380648155762
11.999999999999712,0.006267231598590049,-0.005890230574249463,0.008600756253271495
12.749999999999716,0.005431296684513228,-0.0058063832530561845,0.00795066476192876
13.49999999999972,0.004620626278820522,-0.005660928587987426,0.007307277173258182
14.249999999999725,0.003854048935576711,-0.005459922743710267,0.00668314668139976
14.99999999999978,0.0031468830358973928,-0.00521226024171195,0.0060885572731928786
15.749999999999783,0.0025119165798386752,-0.004928338679196571,0.0055315682261844554
16.499999999999787,0.0019588429026517772,-0.0046198213598329365,0.005017949273760934
17.24999999999979,0.0014929524790199507,-0.0042990006109860455,0.004550858529757896
17.999999999999797,0.0011141833686392863,-0.003977677038336339,0.004130777069784878
18.7499999999998,0.0008171769748156386,-0.0036657379399683485,0.003755717355272123
19.499999999999805,0.0005931941413198969,-0.003370002797859711,0.0034218121144911702
20.249999999999808,0.00043351078081291575,-0.0030944259531555255,0.0031246445520480416
20.999999999999865,0.0003299911799794364,-0.002840944944990968,0.0028600458666486377
21.74999999999987,0.0002756806809193628,-0.002609963265058019,0.002624482440936589
22.499999999999872,0.00026523191409527126,-0.002400833021059876,0.0024154393313155537
23.249999999999876,0.00029523257571836603,-0.0022122438090560526,0.0022318568378084055
23.999999999999883,0.0003645520726155124,-0.002042605560012579,0.0020748820900095906
24.749999999999886,0.0004748621282466495,-0.0018901929072599507,0.0019489287486972842
25.49999999999989,0.0006314864002953484,-0.0017541925761112873,0.0018643944507109893
26.249999999999893,0.000845240733541762,-0.001632463409302669,0.0018383059267571078
26.99999999999995,0.0011343175062949414,-0.0015348717647809323,0.0019085354435820435
27.749999999999954,0.0015335378980603418,-0.0014361128001899287,0.002100989876143312
28.499999999999957,0.0020700601592651465,-0.0015202651015877916,0.0025683370187891195
29.24999999999996,0.002714517289815601,-0.001083459739724244,0.002922753688614756
29.999999999999964,0.00729611514795128,-0.0033234737600083076,0.008017404448175725
