radius_мм,relative_angle_deg,sigma_rr_mpa,sigma_tt_mpa,radial_displacement_мм
249.99999999999997,-4.579998741307465e-13,-4.566877494901153,-4.0966131444155955,-0.0
251.22188166194047,-4.579998741307465e-13,-4.594011688121197,-3.999929038723776,-0.05935376354844663
252.4417269452024,-4.579998741307465e-13,-4.644933974332405,-3.8127895279699873,-0.13615230534635125
253.6575329869864,-4.579998741307465e-13,-4.689618186699399,-3.6378606481547364,-0.22855996804218295
254.86736324063804,-4.579998741307465e-13,-4.728910831407601,-3.474654958831561,-0.33483682653330676
256.06937565187303,-4.579998741307465e-13,-4.763543599911516,-3.3226935013767953,-0.4533404545601162
257.2618487752099,-4.579998741307465e-13,-4.79414923016828,-3.181500123286445,-0.5825283181556136
258.443200884959,-4.579998741307465e-13,-4.82127473938545,-3.050598890094046,-0.7209597803472835
259.6120057067602,-4.579998741307465e-13,-4.845392639701321,-2.9295137051865052,-0.8672976212346971
260.7670018148509,-4.579998741307465e-13,-4.866910551918297,-2.817769477405481,-1.0203084719808293
261.90709503436995,-4.0711099922733015e-13,-4.886179551070399,-2.714894214192261,-1.1788618118049705
263.0313612770457,-4.0711099922733015e-13,-4.903501473694982,-2.620421526403045,-1.3419284446841957
264.1390394715111,-4.0711099922733015e-13,-4.919135322068761,-2.533893375535672,-1.5085770462764396
265.22952273288445,-4.0711099922733015e-13,-4.933302923948101,-2.4548626455934146,-1.6779698581258076
266.3023532401337,-4.0711099922733015e-13,-4.946193939230215,-2.382895366716202,-1.8493585451284364
267.3572050591915,-4.0711099922733015e-13,-4.957970255927981,-2.3175726830572536,-2.022077861398521
268.39387511414844,-4.0711099922733015e-13,-4.968769859168717,-2.2584924146970717,-2.1955403402034013
269.4122646641059,-4.0711099922733015e-13,-4.9787102358755995,-2.205270119985728,-2.369229303609921
270.41237516433773,-4.0711099922733015e-13,-4.987891362083761,-2.157539743981426,-2.542694247181758
271.3942880938072,-4.0711099922733015e-13,-4.9963982832266005,-2.1149540607991915,-2.715543563126189
272.35815306443567,-3.562221243239139e-13,-5.004303353525485,-2.07718474023297,-2.8874387188134643
273.3041839997729,-3.562221243239139e-13,-5.011668192266919,-2.043922112915941,-3.0580900451634574
274.2326383714426,-3.562221243239139e-13,-5.0185453406531595,-2.014874841034384,-3.2272496764011174
275.143816294743,-3.562221243239139e-13,-5.02497969666468,-1.989769328116267,-3.394708233485109
276.03805315091637,-3.562221243239139e-13,-5.0310097401227925,-1.9683490787791773,-3.560290590813831
276.91570136310753,-3.562221243239139e-13,-5.036668544244845,-1.9503740183744576,-3.7238498229451835
