 nodeID, x, y, ux, uy, sx, sy, sxy
53048,-47.5501,-288.477,-0.628644,-0.120729,-0.0494208,0.0014998,-0.00383789
53049,-46.3414,-288.674,-0.631557,-0.115735,-0.0505216,0.000408409,-0.00295931
53050,-45.1318,-288.865,-0.634344,-0.109348,-0.0519277,-0.000877168,-0.00175992
53051,-43.9214,-289.052,-0.637019,-0.101426,-0.0536937,-0.00239134,-0.000187754
53052,-42.7102,-289.233,-0.639599,-0.0918123,-0.0558805,-0.00417897,0.00181899
53053,-41.4983,-289.409,-0.642103,-0.0803333,-0.0585552,-0.00629939,0.00433426
53054,-40.2857,-289.581,-0.644551,-0.066798,-0.061791,-0.00883205,0.00744681
53055,-39.0723,-289.747,-0.646966,-0.0509945,-0.0656648,-0.0118843,0.0112631
53056,-37.8583,-289.908,-0.649369,-0.0326872,-0.0702532,-0.0156019,0.0159103
53057,-36.6436,-290.064,-0.651776,-0.011614,-0.0756262,-0.0201829,0.0215374
53058,-35.4283,-290.215,-0.654195,0.0125161,-0.0818359,-0.0258945,0.0283152
53059,-34.2123,-290.361,-0.656619,0.0400247,-0.0889008,-0.0330931,0.0364301
53060,-32.9958,-290.502,-0.65901,0.0712628,-0.0967852,-0.0422456,0.0460712
53061,-31.7786,-290.637,-0.661293,0.106606,-0.105376,-0.0539485,0.0574043
53062,-30.5609,-290.768,-0.663331,0.146445,-0.114458,-0.0689404,0.0705307
53063,-29.3427,-290.893,-0.664909,0.191162,-0.123705,-0.0880974,0.0854248
53064,-28.124,-291.014,-0.665711,0.241097,-0.132689,-0.112397,0.101849
53065,-26.9047,-291.129,-0.665304,0.296493,-0.140928,-0.142829,0.119246
53066,-25.685,-291.239,-0.663141,0.357416,-0.148029,-0.180167,0.136606
53067,-24.4648,-291.344,-0.658597,0.423629,-0.153978,-0.224373,0.152306
53068,-23.2443,-291.444,-0.651108,0.494365,-0.159226,-0.274235,0.164822
53069,-22.0233,-291.539,-0.640287,0.568555,-0.164385,-0.327917,0.173499
