case,success,load_steps,converged_load_steps,nonlinear_iterations,max_penetration,total_time_seconds,contact_force_norm,minimum_signed_distance,minimum_jacobian_determinant,maximum_jacobian_determinant,linear_solver_backend
penalty_contact,true,12,12,76,0.011787,97.4413,528.71,-0.0117871414,0.931282,1.02607,ConjugateGradient
augmented_lagrangian_contact,true,18,18,547,7.98963e-09,1067.5,529.661,-1.332261945e-08,0.931167,1.02612,mixed
no_contact_surrogate,true,8,8,33,0,54.1735,0,nan,0.941371,1.04359,PardisoLDLT

parameter,value
surrogate_max_pressure,5.90587
surrogate_contact_half_angle_rad,0.204933
surrogate_contact_half_angle_deg,11.7418
surrogate_contact_half_width,61.0489
surrogate_contact_center_x,-1.31335e-11
surrogate_total_normal_force,529.661
surrogate_active_facets,74
