relative_angle_deg,reaction_radial_kn,reaction_tangential_kn,reaction_magnitude_kn
-30.000000000000068,0.002023221641722304,0.0010817280672301328,0.002294245283958743
-29.5000000000001,0.00103175850331703,0.00035431821687220266,0.001090901924085981
-29.00000000000013,0.000792465925209635,0.00043511118175499876,0.0009040597231967557
-28.50000000000006,0.0006286780991807427,0.0003750943434959193,0.0007320737113926072
-28.00000000000009,0.0005015740165018825,0.00037410092708879466,0.0006257219811374109
-27.50000000000012,0.0004051989455357534,0.00037596584593299463,0.000552753564232198
-27.000000000000153,0.00032877576004363893,0.0003852793455549607,0.0005064915344835798
-26.500000000000185,0.0002668033756809799,0.00039772591273281265,0.00047892582195358294
-26.000000000000213,0.0002154120502673872,0.00041279459057519196,0.00046561972188529526
-25.500000000000245,0.00017210625021215988,0.00042987820190494607,0.0004630505694145298
-25.000000000000277,0.00013516774932772113,0.00044880285923576765,0.00046871561411640847
-24.500000000000256,0.00010341261365131067,0.00046952146069303936,0.0004807749688924337
-24.000000000000288,7.602239963823551e-05,0.0004920987091012546,0.0004979362858297001
-23.50000000000037,5.244829211969107e-05,0.0005166659365641006,0.0005193212044120013
-23.0000000000003,3.235092812464119e-05,0.0005434034240412961,0.0005443655608231755
-22.50000000000033,1.5564084846549005e-05,0.000572526000708973,0.0005727375159922053
-22.000000000000362,2.0739428746411324e-06,0.0006042726958319175,0.0006042762548429487
-21.500000000000394,-7.988541083357392e-06,0.0006388962341364881,0.0006389461751841282
-21.000000000000423,-1.4342608367566873e-05,0.0006766473309540575,0.0006767993209970259
-20.500000000000405,-1.655111098235329e-05,0.0007177468108272065,0.0007179376182701223
-20.000000000000437,-1.4045835992433004e-05,0.0007623508866188792,0.000762480268490482
-19.500000000000465,-6.192695030129064e-06,0.0008105332650316801,0.000810556921625281
-19.000000000000497,7.657404098320108e-06,0.0008622937342551752,0.0008623277335058057
-18.50000000000053,2.816265453947864e-05,0.0009175718305283724,0.0009180039211734873
-18.000000000000508,5.59969760120751e-05,0.0009762489722554844,0.0009778536276725605
-17.50000000000054,9.184897098847661e-05,0.0010381426074332718,0.0010421978251944275
-17.000000000000572,0.00013641392772845563,0.0011029977688126243,0.0011114012946204137
-16.5000000000006,0.00019037908295775518,0.0011704792285741619,0.0011858607927372426
-16.000000000000632,0.000254407946225306,0.0012401649803862077,0.001265990751024233
-15.500000000000613,0.00032912112164973866,0.001311540918579391,0.0013522057143142295
-15.000000000000645,0.0004150757410589308,0.0013839975925278164,0.0014449004141941452
-14.500000000000727,0.0005127438390470588,0.001456828977957999,0.0015444276983720747
-14.000000000000655,0.0006224898526139913,0.0015292336996275213,0.0016510752026130929
-13.500000000000636,0.0007445485641192968,0.0016003189097581077,0.0017650419760621796
-13.000000000000616,0.0008790035746781735,0.001669107000347256,0.0018864160365373334
-12.500000000000647,0.0010257675690699573,0.0017345453733691703,0.0020151542764840816
-12.000000000000627,0.0011845648936614963,0.0017955193236550637,0.002151065696094383
-11.500000000000608,0.0013549175000813775,0.0018508680563679898,0.0022937990308896264
-11.000000000000588,0.0015361347921445808,0.001899403803697743,0.0024428354240796754
-10.50000000000067,0.0017273085944613067,0.0019399338278562345,0.0025974869079479182
-10.000000000000599,0.0019273135713162525,0.001971284796123289,0.002756900678226665
-9.500000000000579,0.0021348132472836824,0.001992329409134704,0.002920069190153025
-9.00000000000056,0.002348273725440471,0.0020020140536414323,0.00308584668455383
-8.500000000000592,0.002565982168375376,0.001999386774077452,0.00325296971408838
-8.000000000000622,0.0027860724788852593,0.001983624794560998,0.0034200829205150883
-7.500000000000552,0.0030065560300607183,0.001954060005604698,0.0035857676538501907
-7.000000000000583,0.0032253567734747187,0.001910201501498137,0.0037485725406513053
-6.500000000000562,0.0034403494046231073,0.001851753995727706,0.003907044520681085
-6.000000000000543,0.0036493988760437457,0.0017786312556748469,0.00405975877363826
-5.500000000000523,0.0038504000211568713,0.0016909638587004029,0.00420534648921534
-5.000000000000504,0.004041315415793388,0.0015891006348254864,0.004342518982978893
-4.500000000000535,0.0042202089541951635,0.0014736044141449285,0.004470086530086018
-4.000000000000514,0.004385276786811119,0.0013452418908618223,0.004586973756396906
-3.5000000000004947,0.004534870579470023,0.001204968652742149,0.0046922276827359955
-3.0000000000004747,0.004667517102268392,0.0010539105439165005,0.004785022814422759
-2.5000000000005063,0.004781930756958732,0.0008933421411220815,0.004864660516978806
-2.0000000000004863,0.004877021653152285,0.0007246640686812271,0.00493056570970856
-1.5000000000004665,0.004951899504746781,0.0005493798118309454,0.004982281293018171
-1.0000000000004468,0.00500587417847731,0.0003690730850273496,0.005019461249261468
-0.5000000000004778,0.005038454678378387,0.00018538627246135223,0.0050418641013111574
-4.579998741307465e-13,0.005049347406297459,-1.9998595188792927e-15,0.005049347406297459
0.4999999999995618,0.005038454678378059,-0.00018538627246525137,0.0050418641013109744
0.9999999999995816,0.005005874178476203,-0.000369073085031096,0.005019461249260638
1.4999999999995506,0.004951899504744832,-0.0005493798118347499,0.004982281293016653
1.9999999999995703,0.004877021653150067,-0.0007246640686846255,0.004930565709706866
2.49999999999959,0.004781930756956337,-0.0008933421411257723,0.004864660516977128
2.9999999999996096,0.004667517102265099,-0.0010539105439195183,0.004785022814420212
3.4999999999995786,0.004534870579466104,-0.0012049686527452993,0.004692227682733018
3.9999999999995985,0.004385276786806886,-0.0013452418908642,0.004586973756393556
4.499999999999618,0.004220208954190874,-0.0014736044141477084,0.0044700865300828846
4.9999999999996385,0.004041315415788389,-0.0015891006348274371,0.004342518982974956
5.499999999999607,0.003850400021151428,-0.0016909638587018865,0.0042053464892109526
5.999999999999627,0.003649398876038282,-0.0017786312556764324,0.004059758773634043
6.4999999999996465,0.003440349404617447,-0.0018517539957286701,0.0039070445206765584
6.999999999999666,0.0032253567734687864,-0.0019102015014988297,0.0037485725406465544
7.499999999999635,0.0030065560300545266,-0.001954060005604906,0.003585767653845112
7.999999999999655,0.0027860724788791344,-0.0019836247945610236,0.003420082920510114
8.499999999999675,0.002565982168369288,-0.0019993867740766254,0.0032529697140830697
8.999999999999694,0.002348273725434552,-0.002002014053641132,0.003085846684549132
9.499999999999664,0.002134813247277506,-0.0019923294091331485,0.0029200691901474472
9.999999999999684,0.0019273135713105767,-0.0019712847961220826,0.0027569006782218347
10.499999999999703,0.0017273085944557404,-0.0019399338278545044,0.0025974869079429244
10.999999999999723,0.0015361347921392342,-0.001899403803695722,0.0024428354240747423
11.499999999999691,0.0013549175000762874,-0.0018508680563658034,0.002293799030884856
11.999999999999712,0.0011845648936567356,-0.0017955193236528246,0.0021510656960898916
12.499999999999732,0.0010257675690655136,-0.0017345453733665854,0.002015154276479595
12.999999999999751,0.0008790035746741141,-0.0016691070003447485,0.0018864160365332234
13.49999999999972,0.0007445485641155107,-0.0016003189097552818,0.001765041976058021
13.99999999999974,0.0006224898526106362,-0.0015292336996247284,0.001651075202609241
14.49999999999976,0.0005127438390440559,-0.0014568289779554112,0.0015444276983686365
14.99999999999978,0.00041507574105624967,-0.001383997592525069,0.0014449004141907434
15.499999999999748,0.00032912112164738876,-0.0013115409185766346,0.0013522057143109838
