arc_coordinate,relative_angle_deg,active,facet_length,active_length,average_penetration,maximum_penetration,integrated_normal_force_kn,average_pressure_mpa
-65.41558446905711,-12.493456348195028,0,1.8517960135416398,0.0,0.0,0.0,0.0,0.0
-63.563785516167925,-12.139788799837378,0,1.851796012504878,0.0,0.0,0.0,0.0,0.0
-61.711986565768214,-11.78612125195518,0,1.8517960085624339,0.0,0.0,0.0,0.0,0.0
-59.860187624537176,-11.43245370582407,0,1.8517959941676396,0.0,0.0,0.0,0.0,0.0
-58.0083887157346,-11.07878616588634,0,1.8517959437058245,0.0,0.0,0.0,0.0,0.0
-56.156589917073774,-10.725118646984136,1,1.8517957738848958,1.8517957738848958,0.0006560068332532864,0.0008123362923697641,0.0024295813629160988,1.3120136665065727
-54.30479147763974,-10.371451196689195,1,1.8517952252562133,1.8517952252562133,0.0004941668152014246,0.000557057896344304,0.0018301914977401346,0.9883336304028489
-52.45299416320259,-10.017783961252833,1,1.8517935239015484,1.8517935239015484,0.0006100728188300764,0.0006141001000514734,0.002259457790035796,1.2201456376601527
-50.601200231542705,-9.664117371879337,1,1.8517884597336705,1.8517884597336705,0.00064649812117068,0.0006635009980868745,0.0023943555200467304,1.29299624234136
-48.749416065527114,-9.310452647606516,1,1.851773992706509,1.851773992706509,0.0006975247617049263,0.0007099821294787034,0.0025833164259879754,1.3950495234098526
-46.89765896342371,-8.956793092160177,1,1.8517343321668274,1.8517343321668274,0.0007408271043516379,0.0007533703558237903,0.0027436299666553296,1.4816542087032758
-45.04597387127536,-8.603147289602202,1,1.851629973482242,1.851629973482242,0.000782630404870588,0.000794222300214642,0.0028982838316338458,1.5652608097411758
-43.19447270628771,-8.249536614544377,1,1.8513664795969405,1.8513664795969405,0.000821718643493341,0.0008326943532210862,0.00304260470444688,1.643437286986682
-41.34342203349428,-7.896011977157993,1,1.8507289933820825,1.8507289933820825,0.0008586299181558842,0.000868964942810635,0.0031781825682327593,1.7172598363117684
-39.49342882342037,-7.542689300274346,1,1.8492515642145213,1.8492515642145213,0.0008934163712694955,0.0009031653146962526,0.0033043032441299517,1.786832742538991
-37.64581133572289,-7.189820352942246,1,1.8459775711749735,1.8459775711749735,0.0009262081410952306,0.0009353915347674047,0.003419518909402922,1.8524162821904613
-35.80328810387989,-6.837924336810885,1,1.8390631006311722,1.8390631006311722,0.0009570423052025491,0.0009656610245087904,0.003520122378482009,1.914084610405098
-33.97113913699865,-6.488009659339054,1,1.825229138350957,1.825229138350957,0.000985847925193184,0.0009938601383510104,0.003598796718090868,1.971695850386368
-32.158911583463556,-6.141899691556123,1,1.7992204570737214,1.7992204570737214,0.0010124060736984575,0.0010197272146683645,0.003643083437327901,2.024812147396915
-30.382279114019894,-5.8025878840727,1,1.7540392868861623,1.7540392868861623,0.0010363966196109686,0.0010429264268054794,0.0036357607751873054,2.0727932392219373
-28.663883130147738,-5.474398426045682,1,1.6827479764382307,1.6827479764382307,0.001057555315242098,0.0010632414866336148,0.003559198133390271,2.115110630484196
-27.0313895552305,-5.162615119629077,1,1.5822351335622271,1.5822351335622271,0.0010759652676881615,0.0010809080873173116,0.0034048600980577915,2.151930535376323
-25.511585039708606,-4.8723538382146465,1,1.4573706306076504,1.4573706306076504,0.0010919959956936511,0.0010963085211983525,0.00318288578573017,2.183991991387302
-24.123545455770845,-4.607257805025551,1,1.3187060425567478,1.3187060425567478,0.0011062198476849971,0.0011101194669436154,0.002917557595076822,2.2124396953699943
-22.873841633818603,-4.368581956228112,1,1.1806997776550883,1.1806997776550883,0.0011189910061375485,0.0011224648186498598,0.0026423848642892944,2.237982012275097
-21.757209099279073,-4.155320851241074,1,1.0525639895319063,1.0525639895319063,0.0011303562061755201,0.0011334440949326563,0.002379544475928511,2.2607124123510403
-20.761371285620367,-3.9651298385671434,1,0.9391107144715559,0.9391107144715559,0.0011404412857132231,0.0011431760203208796,0.0021420012612780094,2.2808825714264462
-19.870844962140133,-3.7950518389647456,1,0.8419412727420796,0.8419412727420796,0.0011492836408422136,0.0011516540423599508,0.001935258662624689,2.2985672816844276
-19.070181873056313,-3.642136452910046,1,0.7593844263823837,0.7593844263823837,0.0011569985356061352,0.0011590823306733,0.0017572133385730458,2.31399707121227
-18.34556897956441,-3.5037455843172167,1,0.6898410058826074,0.6898410058826074,0.0011637346277098004,0.0011655399172241232,0.0016055837323195009,2.327469255419601
-17.68524179781199,-3.3776323822766114,1,0.6308130894283994,0.6308130894283994,0.0011696523555713156,0.001171263667799849,0.0014756640319502927,2.3393047111426313
-17.07930693127917,-3.2619073472360998,1,0.5810564366014613,0.5810564366014613,0.0011748427713484944,0.0011762281470737435,0.0013652999085734829,2.3496855426969887
-16.519851854036283,-3.1550592980588235,1,0.5378535550259887,0.5378535550259887,0.0011794660716191176,0.0011807499595875015,0.0012687600393057595,2.358932143238235
-16.000194950781754,-3.0558121402210814,1,0.5014601210703087,0.5014601210703087,0.0011836044384097022,0.0011847098376165377,0.001187060849968568,2.3672088768194044
-15.51476997512351,-2.9631027989695546,1,0.46938972398810375,0.46938972398810375,0.0011872756782338456,0.0011882898703561295,0.001114590005807947,2.374551356467691
-15.059431748611463,-2.8761396035358473,1,0.4412866413724813,0.4412866413724813,0.0011906321747403583,0.0011915558567920925,0.001050820147002372,2.3812643494807166
-14.63039789588203,-2.794200173437068,1,0.4167809907852443,0.4167809907852443,0.001193704815619867,0.0011945551236181018,0.000995026951518331,2.3874096312397337
-14.224256562413906,-2.716632892458605,1,0.39550161399243183,0.39550161399243183,0.0011964658559975305,0.0011972096353929373,0.0009464083542677198,2.392931711995061
-13.838624641914787,-2.642982620824858,1,0.3757621738013819,0.3757621738013819,0.0011990273600304138,0.0011997624656601147,0.0009010982545047206,2.398054720060827
-13.471251397367912,-2.5728194994296465,1,0.3589842693111814,0.3589842693111814,0.0012013985945884542,0.0012020325218600192,0.0008625663932596329,2.4027971891769084
-13.120139850283241,-2.505762133475445,1,0.34323878471946573,0.34323878471946573,0.0012035587693333127,0.0012041720195838934,0.000826216098648844,2.407117538666625
-12.783941692182577,-2.4415530150113116,1,0.3291574962501946,0.3291574962501946,0.001205607240478912,0.0012061766756232828,0.0007936693214742898,2.411214480957824
-12.461079029569788,-2.379890788577748,1,0.316567797777264,0.316567797777264,0.0012075061717666813,0.0012080330851063081,0.000764515139197266,2.4150123435333626
-12.150262916039,-2.3205292835445044,1,0.3050644014533227,0.3050644014533227,0.0012092766885700714,0.0012097719835537646,0.0007378145383801698,2.4185533771401424
-11.850451321255662,-2.263269486777265,1,0.2945587631374464,0.2945587631374464,0.0012109422642367917,0.001211408589824714,0.0007133873111688963,2.4218845284735835
-11.560688387176388,-2.207928842837032,1,0.2849670824752531,0.2849670824752531,0.0012125010431134342,0.0012129346789606643,0.0006910457695084728,2.4250020862268684
-11.280230049235751,-2.1543652458595246,1,0.2759495729645452,0.2759495729645452,0.0012139656924432527,0.0012143776722837174,0.0006699866288466481,2.4279313848865054
-11.008470007625526,-2.1024629011109726,1,0.26757049165891905,0.26757049165891905,0.0012153691837966107,0.0012157675100752385,0.0006503938601111165,2.4307383675932215
-10.744596425430686,-2.0520667591617636,1,0.26017665570840715,0.26017665570840715,0.0012167036541086418,0.0012170757846092783,0.0006331157754283699,2.4334073082172836
