radius_ед. длины,relative_angle_deg,sigma_rr_mpa,sigma_tt_mpa,radial_displacement_ед. длины
249.99999999999997,-4.579998741307465e-13,-2.4564193510150394e-06,2.5180171911566167e-07,9.999999999999938
250.6546682854293,-4.579998741307465e-13,-2.4560666247327277e-06,2.5408486377103034e-07,9.88555230471508
251.30877629492147,-4.579998741307465e-13,-2.4553565268112563e-06,2.5835828823116226e-07,9.771052764991115
251.9617687266847,-4.579998741307465e-13,-2.4546415322009307e-06,2.6205358226478744e-07,9.656622351412954
252.61309980299418,-4.579998741307465e-13,-2.4539299960736054e-06,2.6518635697060375e-07,9.542379604476304
253.26223645352056,-4.579998741307465e-13,-2.4532294354123744e-06,2.677729730719295e-07,9.428439967356761
253.90866610090583,-4.579998741307465e-13,-2.452546564417248e-06,2.6983040217755897e-07,9.314914324675481
254.5518944790209,-4.579998741307465e-13,-2.4518873084431082e-06,2.7137610466985524e-07,9.201909306027922
255.1914555650008,-4.579998741307465e-13,-2.4512568191920697e-06,2.724279141915435e-07,9.089525478698755
255.82690925701638,-4.579998741307465e-13,-2.4506594973563036e-06,2.7300392211272845e-07,8.977857708847958
256.4578456768054,-4.579998741307465e-13,-2.4500990219053133e-06,2.7312236500361027e-07,8.866994375426849
257.08388731088337,-4.579998741307465e-13,-2.449578386090727e-06,2.728015195154822e-07,8.757016979360257
257.7046857372939,-4.579998741307465e-13,-2.449099938358441e-06,2.72059601743562e-07,8.648000718341358
258.31993119792577,-4.579998741307465e-13,-2.448665427071177e-06,2.70914673595087e-07,8.540012818803788
258.92934334382943,-4.579998741307465e-13,-2.44827604998708e-06,2.6938455956235016e-07,8.433114186326291
259.5326761925184,-4.579998741307465e-13,-2.4479325046320133e-06,2.6748677278319653e-07,8.327358570168482
260.12971497626717,-4.579998741307465e-13,-2.4476350387538194e-06,2.6523844907495204e-07,8.222793159704638
260.72027762892395,-4.579998741307465e-13,-2.4473835011447713e-06,2.626562929301711e-07,8.119458374378263
