facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,43001,0,0,0,-64.407147263331154,-293.00243115306034,-62.30942233468874,-301.60525479338344,0,1,1,2.2757150926644361,0,2.2757150926644361,0,0.39474520661659085,0,0,0,0
1,43002,0,0,0,-62.182676642298851,-293.48257189449305,-59.95934563657547,-301.80491506561043,0,1,1,2.2757150903055479,0,2.2757150903055479,0,0.19508493438956973,0,0,0,0
2,43003,0,0,0,-59.954627844113119,-293.9458247369646,-57.611394091825638,-301.93856340033574,0,1,1,2.2757150784862761,0,2.2757150784862761,0,0.061436599664318692,0,0,0,0
3,43004,0,0,0,-57.72312910382098,-294.39216301856163,-55.278046118062569,-301.99391248581571,0,1,1,2.2757150228037561,0,2.2757150228037561,0,0.00608751418425868,0,0,0,0
4,43005,0,1,2,-55.488308944361037,-294.82156103490729,-52.93210666964783,-302.00000000000205,0,1,1,2.2757147761662844,2.2757147761662844,2.2757147761662844,2.2757147761662844,-2.0179413695586841e-12,9.9191765912109986e-12,1.9838353182421997e-11,2.9897646598131553,1.3137694983242909
5,43006,0,1,2,-53.250296443005794,-295.23399399538164,-50.550024215061022,-301.99999999999687,0,1,1,2.2757137491179007,2.2757137491179007,2.2757137491179007,2.2757137491179007,3.0979663279140364e-12,5.8832938520936295e-12,1.1766587704187259e-11,2.3414491542308205,1.0288856211104758
6,43007,0,1,2,-51.009222246890161,-295.62943786450023,-48.150084630466402,-302.00000000000307,0,1,1,2.2757097239826463,2.2757097239826463,2.2757097239826463,2.2757097239826463,-3.1263880373444408e-12,7.1906924858922139e-12,1.4381384971784428e-11,2.9293299796632226,1.2872160050960701
7,43008,0,1,2,-48.76522213987954,-296.0078688360237,-45.739502489451141,-301.99999999999716,0,1,1,2.2756948860210029,2.2756948860210029,2.2756948860210029,2.2756948860210029,2.8137492336099967e-12,2.5011104298755527e-12,5.0022208597511053e-12,3.1289679790875091,1.3749505692999264
8,43009,0,1,2,-46.518448671506718,-296.36926172400649,-43.32029007020045,-302.0000000000021,0,1,1,2.2756435254149521,2.2756435254149521,2.2756435254149521,2.2756435254149521,-2.1316282072803006e-12,3.5811353882309049e-12,7.1622707764618099e-12,3.4001352337835096,1.4941422924152905
9,43010,0,1,2,-44.269106524218131,-296.71358539713503,-40.893219600264921,-301.99999999999858,0,1,1,2.2754764990769387,2.2754764990769387,2.2754764990769387,2.2754764990769387,1.4495071809506044e-12,7.3896444519050419e-13,1.4779288903810084e-12,3.6271746928770359,1.5940286328373077
10,43011,0,1,2,-42.017552617837815,-297.04079080808617,-38.458827387309213,-302.0000000000008,0,1,1,2.2749664735871562,2.2749664735871562,2.2749664735871562,2.2749664735871562,-8.5265128291212022e-13,1.2221335055073723e-12,2.4442670110147446e-12,3.8440004070159643,1.6896954094249852
11,43012,0,1,2,-39.764558910979403,-297.35078215412386,-36.017990614543287,-301.99999999999949,0,1,1,2.2735056155664659,2.2735056155664659,2.2735056155664659,2.2735056155664659,4.8316906031686813e-13,1.7053025658242407e-13,3.4106051316484809e-13,4.0419924474567708,1.7778678089825917
12,43013,0,1,2,-37.511951425541184,-297.64335327555852,-33.572721603732894,-302.00000000000023,0,1,1,2.2695824540094152,2.2695824540094152,2.2695824540094152,2.2695824540094152,-2.5579538487363607e-13,3.4106051316484814e-13,6.8212102632969618e-13,4.2210549717712968,1.8598376826162166
13,43014,0,1,2,-35.264010735063685,-297.91806406757701,-31.127732575218651,-301.99999999999983,0,1,1,2.2597779575480761,2.2597779575480761,2.2597779575480761,2.2597779575480761,1.1368683772161603e-13,2.8421709430404007e-14,5.6843418860808015e-14,4.373501580127293,1.9353678380298334
14,43015,0,1,2,-33.030157798119824,-298.17403880064364,-28.693401722560768,-302.00000000000006,0,1,1,2.237195694213336,2.237195694213336,2.237195694213336,2.237195694213336,-2.8421709430404007e-14,5.6843418860808015e-14,1.1368683772161603e-13,4.4837255699936369,2.0041722686983121
15,43016,0,1,2,-30.829191590234345,-298.40972168334281,-26.290467191048926,-301.99999999999994,0,1,1,2.1899322021227703,2.1899322021227703,2.1899322021227703,2.1899322021227703,5.6843418860808015e-14,0,0,4.5231217794677212,2.0654163517406232
16,43017,0,1,2,-28.69341572612791,-298.62280956910934,-23.954641258271238,-302,0,1,1,2.10285426887926,2.10285426887926,2.10285426887926,2.10285426887926,-5.6843418860808015e-14,5.6843418860808015e-14,5.6843418860808015e-14,4.4542179054113236,2.1181771705869323
17,43018,0,1,2,-26.668102885762071,-298.81072068040385,-21.736118694052571,-301.99999999999994,0,1,1,1.9651920334269615,1.9651920334269615,1.9651920334269615,1.9651920334269615,2.8421709430404007e-14,0,0,4.2496277190132412,2.1624490872795836
18,43019,0,1,2,-24.801111706592657,-298.97175515040408,-19.688194823738481,-302,0,1,1,1.7826726047527703,1.7826726047527703,1.7826726047527703,1.7826726047527703,0,2.8421709430404007e-14,5.6843418860808015e-14,3.9216716767952868,2.1998832911549471
19,43020,0,1,2,-23.125634848192583,-299.106304911667,-17.84819489203587,-302,0,1,1,1.579081957280041,1.579081957280041,1.579081957280041,1.579081957280041,2.8421709430404004e-14,0,0,3.5252754928797789,2.2324841827412456
20,43021,0,1,2,-21.649936844532171,-299.21698433063801,-16.226006394810497,-302.00000000000006,0,1,1,1.3806124821862209,1.3806124821862209,1.3806124821862209,1.3806124821862209,-5.6843418860808015e-14,5.6843418860808015e-14,1.1368683772161603e-13,3.1220225701218878,2.2613315542230339
21,43022,0,1,2,-20.360518626821083,-299.30767867730674,-14.807426174690223,-301.99999999999989,0,1,1,1.2046012601626439,1.2046012601626439,1.2046012601626439,1.2046012601626439,1.7053025658242407e-13,2.8421709430404007e-14,5.6843418860808015e-14,2.754536650817518,2.2866792040758814
22,43023,0,1,2,-19.23236720612136,-299.38242587525519,-13.565402153163067,-302.00000000000057,0,1,1,1.0566526321280418,1.0566526321280418,1.0566526321280418,1.0566526321280418,-5.6843418860808015e-13,5.9685589803848426e-13,1.1937117960769683e-12,2.4393056044497601,2.3085217698621818
23,43024,0,1,2,-18.238434239742848,-299.44472095151707,-12.470490086400396,-301.99999999999864,0,1,1,0.93511657171031748,0.93511657171031748,0.93511657171031748,0.93511657171031748,1.3926637620897962e-12,1.9895196601282805e-13,3.979039320256561e-13,2.1761611591832253,2.3271549505352591
24,43025,0,1,2,-17.354408107200388,-299.49732848204189,-11.496147396374916,-302.00000000000273,0,1,1,0.83606547257851416,0.83606547257851416,0.83606547257851416,0.83606547257851416,-2.7569058147491883e-12,3.4958702599396925e-12,6.9917405198793858e-12,1.9588986655315381,2.3429967266679341
25,43026,0,1,2,-16.560317026311928,-299.54234011112948,-10.620534133577307,-301.99999999999574,0,1,1,0.75466744055957291,0.75466744055957291,0.75466744055957291,0.75466744055957291,4.2632564145606011e-12,1.9895196601282805e-12,3.979039320256561e-12,1.7783438329717813,2.3564602597048179
26,43027,0,1,2,-15.840485437809857,-299.58130948509756,-9.8264912131240951,-302.00000000000534,0,1,1,0.68710490824377346,0.68710490824377346,0.68710490824377346,0.68710490824377346,-5.3148596634855494e-12,9.5496943686157465e-12,1.9099388737231493e-11,1.6271752636483239,2.3681613158714754
27,43028,0,1,2,-15.18200415341572,-299.61543186591234,-9.0998710811848014,-301.99999999999449,0,1,1,0.63162548556936393,0.63162548556936393,0.63162548556936393,0.63162548556936393,5.4853899200679726e-12,7.2759576141834259e-12,1.4551915228366852e-11,1.5021970206166289,2.3783033695394806
28,43029,0,1,2,-14.574643366105047,-299.64561457280479,-8.4294545758411665,-302.00000000000421,0,1,1,0.58459571315017211,0.58459571315017211,0.58459571315017211,0.58459571315017211,-4.2348347051301971e-12,1.4949819160392508e-11,2.9899638320785016e-11,1.3955239503240415,2.3871607658634275
29,43030,0,1,2,-14.010528966498351,-299.6725393561851,-7.8066025968954831,-301.99999999999864,0,1,1,0.54491795571149415,0.54491795571149415,0.54491795571149415,0.54491795571149415,1.3358203432289886e-12,1.3784529073745944e-11,2.7569058147491887e-11,1.3050591762610206,2.3949645310494816
30,43031,0,1,2,-13.483560663599457,-299.69672759975253,-7.2246204632765938,-301.9999999999971,0,1,1,0.51012873190934549,0.51012873190934549,0.51012873190934549,0.51012873190934549,2.9558577807620168e-12,1.2505552149377762e-11,2.5011104298755527e-11,1.2252969118404782,2.4019366783250007
31,43032,0,1,2,-12.98866231317079,-299.71859618484524,-6.677933993588633,-302.00000000000779,0,1,1,0.4806341648676975,0.4806341648676975,0.4806341648676975,0.4806341648676975,-7.7875483839306997e-12,1.4779288903810084e-11,2.9558577807620168e-11,1.1574934706536339,2.4082629893200647
32,43033,0,1,2,-12.521351302360994,-299.73849276138844,-6.1616168036839047,-301.99999999998795,0,1,1,0.45483488845944592,0.45483488845944592,0.45483488845944592,0.45483488845944592,1.2050804798491299e-11,0,0,1.0979302850623343,2.413909559095373
33,43034,0,1,2,-12.078203774146658,-299.75668515127404,-5.67190626830015,-302.0000000000145,0,1,1,0.43220694196069359,0.43220694196069359,0.43220694196069359,0.43220694196069359,-1.4523493518936448e-11,1.4523493518936448e-11,1.9497292669257149e-11,1.0455373581019256,2.4190665549213004
34,43035,0,1,2,-11.656402173181284,-299.77339081456182,-5.2057053353370808,-301.99999999998602,0,1,1,0.41205784569161724,0.41205784569161724,0.41205784569161724,0.41205784569161724,1.3955059330328366e-11,3.723243935382925e-12,7.4464878707658499e-12,0.99872037411309511,2.4237382798446561
