facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,10704,0,0,0,-61.048937481930281,-293.71566178612625,-58.736063013696707,-301.85443615903046,0,1,1,4.068048114407862,0,4.068048114407862,0,0.14556384096957234,0,0,0,0
1,10705,0,0,0,-57.060584853006816,-294.51647220946722,-54.56824759733302,-301.99202156728001,0,1,1,4.0680479461034436,0,4.0680479461034436,0,0.0079784327200229672,0,0,0,0
2,10706,0,1,2,-53.061741214903606,-295.26312734614123,-50.368400493095983,-302.00016171512033,0,1,1,4.0680457318045722,4.0680457318045722,4.0680457318045722,4.0680457318045722,-0.00016171512029927726,0.00016171512029927726,0.00020095565588462705,6.5786450490173785,1.6171512029927728
3,10707,0,1,2,-49.053153648226846,-295.95548806702186,-46.083388228078576,-302.0001261159743,0,1,1,4.0680217178981062,4.0680217178981062,4.0680217178981062,4.0680217178981062,-0.0001261159743251028,0.0001261159743251028,0.00014480333339861318,5.1304252252839815,1.261159743251028
4,10708,0,1,2,-45.035664187113113,-296.593412244197,-41.757365970777627,-302.00016171932634,0,1,1,4.0678075516724972,4.0678075516724972,4.0678075516724972,4.0678075516724972,-0.00016171932631436903,0.00016171932631436903,0.00016358757216039521,6.5784309683297915,1.6171932631436903
5,10709,0,1,2,-41.010778509469588,-297.17668561656131,-37.402541612473712,-302.00017454043797,0,1,1,4.0662375743127477,4.0662375743127477,4.0662375743127477,4.0662375743127477,-0.00017454043793918572,0.00017454043793918572,0.00018007446436740793,7.0972288698531925,1.7454043793918572
6,10710,0,1,2,-36.983799033463271,-297.70469279881229,-33.027438455451872,-302.00019077507028,0,1,1,4.0568434119240466,4.0568434119240466,4.0568434119240466,4.0568434119240466,-0.00019077507030829111,0.00019077507030829111,0.00019461411324073197,7.7394458713953753,1.9077507030829111
7,10711,0,1,2,-32.977092289567253,-298.17526337667965,-28.657875642614954,-302.00020341394543,0,1,1,4.0118296938235369,4.0118296938235369,4.0118296938235369,4.0118296938235369,-0.00020341394545653199,0.00020341394545653199,0.00020687196047219913,8.1606210652031645,2.0341394545653202
8,10712,0,1,2,-29.067640304359642,-298.58226274277104,-24.379970699472388,-302.00021347297519,0,1,1,3.8494999899519318,3.8494999899519318,3.8494999899519318,3.8494999899519318,-0.00021347297516172145,0.00021347297516172145,0.00021582254368013309,8.217642157400558,2.1347297516172148
9,10713,0,1,2,-25.430248910263046,-298.91523337234639,-20.388769984074308,-302.00022001961679,0,1,1,3.4558346706809711,3.4558346706809711,3.4558346706809711,3.4558346706809711,-0.0002200196167336799,0.0002200196167336799,0.00022144975349647211,7.6035141973819007,2.2001961673367987
10,10714,0,1,2,-22.279831552750885,-299.16810750101286,-16.924939962110592,-302.0002246331407,0,1,1,2.8653518063005641,2.8653518063005641,2.8653518063005641,2.8653518063005641,-0.00022463314073206678,0.00022463314073206678,0.00022586662328194507,6.4365297555159628,2.2463314073206675
11,10715,0,1,2,-19.711653021874049,-299.34953939895502,-14.097382295731286,-302.00022883449083,0,1,1,2.2838535668501136,2.2838535668501136,2.2838535668501136,2.2838535668501136,-0.00022883449085497884,0.00022883449085497884,0.00023002665892590812,5.2262446815747321,2.2883449085497887
12,10716,0,1,2,-17.656973723771117,-299.47853134938993,-11.832928573393616,-302.00023260061579,0,1,1,1.8336190777099293,1.8336190777099293,1.8336190777099293,1.8336190777099293,-0.00023260061581709127,0.00023260061581709127,0.00023358282101071381,4.2650092664929637,2.3260061581709124
13,10717,0,1,2,-15.986424080717576,-299.57279932903572,-9.9903343128508322,-302.0002356161167,0,1,1,1.5128083510809203,1.5128083510809203,1.5128083510809203,1.5128083510809203,-0.00023561611666877977,0.00023561611666877977,0.00023637491176486947,3.5644202894578649,2.356161166687798
14,10718,0,1,2,-14.58947350025727,-299.64434686703856,-8.4484674443745593,-302.00023794888028,0,1,1,1.2847624079227766,1.2847624079227766,1.2847624079227766,1.2847624079227766,-0.00023794888031147818,0.00023794888031147818,0.00023853690697706043,3.0570777643150331,2.3794888031147821
15,10719,0,1,2,-13.38869760638898,-299.70056639648971,-7.1223692365355724,-302.00023975627329,0,1,1,1.119424902299579,1.119424902299579,1.119424902299579,1.119424902299579,-0.00023975627331651594,0.00023975627331651594,0.00024021174550625801,2.6838914283305204,2.3975627331651594
16,10720,0,1,2,-12.332364119983605,-299.74600112447899,-5.9552324589996264,-302.00024118681625,0,1,1,0.99519866559090475,0.99519866559090475,0.99519866559090475,0.99519866559090475,-0.00024118681628237937,0.00024118681628237937,0.00024155726845265235,2.4002879772234262,2.4118681628237932
17,10721,0,1,2,-11.385393635612132,-299.78353891986239,-4.9085128023902964,-302.00024234564256,0,1,1,0.90023207127002858,0.90023207127002858,0.90023207127002858,0.90023207127002858,-0.00024234564256175872,0.00024234564256175872,0.00024264423905151489,2.1816731976663801,2.4234564256175872
18,10722,0,1,2,-10.523249990524945,-299.81509462682482,-3.9552352863999971,-302.00024329898326,0,1,1,0.82521159723007131,0.82521159723007131,0.82521159723007131,0.82521159723007131,-0.00024329898323571797,0.00024329898323571797,0.00024355079824545101,2.0077314256039918,2.4329898323571797
19,10723,0,1,2,-9.7284953334595716,-299.84197503472205,-3.0762200980348684,-302.00024410240684,0,1,1,0.76520800833997937,0.76520800833997937,0.76520800833997937,0.76520800833997937,-0.000244102406810498,0.000244102406810498,0.00024431444865058438,1.8678911654645658,2.4410240681049795
20,10724,0,1,2,-8.9881139299208481,-299.86511224908099,-2.2571439723419431,-302.00024478383426,0,1,1,0.71627879726400812,0.71627879726400812,0.71627879726400812,0.71627879726400812,-0.00024478383429027417,0.00024478383429027417,0.00024496521479022704,1.7533347041510985,2.4478383429027417
21,10725,0,1,2,-8.2923999243139068,-299.8851812795865,-1.4873224001781384,-302.00024537196629,0,1,1,0.67572895397106425,0.67572895397106425,0.67572895397106425,0.67572895397106425,-0.0002453719663151332,0.0002453719663151332,0.00024553014401362816,1.6580494213194821,2.4537196631513325
22,10726,0,1,2,-7.6337471213738048,-299.90268896788507,-0.7583785854972902,-302.0002458823605,0,1,1,0.64204273665558187,0.64204273665558187,0.64204273665558187,0.64204273665558187,-0.00024588236055933521,0.00024588236055933521,0.00024601885911579302,1.5786698366885008,2.4588236055933521
23,10727,0,1,2,-7.0061658411664194,-299.91802137611717,-0.063713874131120285,-302.00024632779724,0,1,1,0.61349504007963007,0.61349504007963007,0.61349504007963007,0.61349504007963007,-0.00024632779721400766,0.00024632779721400766,0.00024644847167110129,1.511208818245346,2.4632779721400762
24,10728,0,1,2,-6.4049103894071644,-299.93147600597263,0.60190119838456724,-302.00024672006737,0,1,1,0.58931751152580891,0.58931751152580891,0.58931751152580891,0.58931751152580891,-0.00024672006736636831,0.00024672006736636831,0.00024682587024926761,1.453964561438281,2.4672006736636831
25,10729,0,1,2,-5.8259502438750701,-299.94329031964423,1.2429100258698584,-302.0002470655869,0,1,1,0.56884437764837603,0.56884437764837603,0.56884437764837603,0.56884437764837603,-0.0002470655869615257,0.0002470655869615257,0.00024715926991802917,1.4054187005345979,2.4706558696152565
26,10730,0,1,2,-5.2658824201532193,-299.95365383475848,1.8630654495648047,-302.0002473675616,0,1,1,0.55148350837225035,0.55148350837225035,0.55148350837225035,0.55148350837225035,-0.00024736756159882134,0.00024736756159882134,0.00024744822377442688,1.3641913072800675,2.4736756159882138
27,10731,0,1,2,-4.7220764578630599,-299.96271450784576,2.4652680159369771,-302.00024763383226,0,1,1,0.5362798177839011,0.5362798177839011,0.5362798177839011,0.5362798177839011,-0.00024763383228787461,0.00024763383228787461,0.00024770690157538411,1.3280102645647052,2.4763383228787461
28,10732,0,1,2,-4.1921055318432963,-299.97059466710982,3.0521951697776242,-302.00024786671014,0,1,1,0.52377961174818877,0.52377961174818877,0.52377961174818877,0.52377961174818877,-0.00024786671011156614,0.00024786671011156614,0.00024792809290374862,1.2982752918753697,2.4786671011156614
29,10733,0,1,2,-3.6738071513409922,-299.97739476947464,3.626233438840381,-302.00024806708956,0,1,1,0.51290674993647611,0.51290674993647611,0.51290674993647611,0.51290674993647611,-0.0002480670895295134,0.0002480670895295134,0.00024812139582763848,1.2723528465678355,2.480670895295134
30,10734,0,1,2,-3.1654412962421028,-299.98319370382444,4.1893028734631574,-302.00024824019681,0,1,1,0.50389147159858594,0.50389147159858594,0.50389147159858594,0.50389147159858594,-0.00024824019678248987,0.00024824019678248987,0.00024828583394764792,1.2508611806665138,2.4824019678248987
31,10735,0,1,2,-2.6652826273215222,-299.98805750734437,4.743308367670366,-302.00024838527503,0,1,1,0.49647351086778752,0.49647351086778752,0.49647351086778752,0.49647351086778752,-0.00024838527500037339,0.00024838527500037339,0.00024842339877295672,1.233167095272963,2.4838527500037344
32,10736,0,1,2,-2.1718394479280012,-299.99203819312578,5.2898968981064449,-302.00024850442867,0,1,1,0.49044529399262904,0.49044529399262904,0.49044529399262904,0.49044529399262904,-0.00024850442869706058,0.00024850442869706058,0.00024853509836475496,1.2187782759080019,2.4850442869706058
33,10737,0,1,2,-1.6837863841284086,-299.99517644759328,5.8305318504529717,-302.00024859868267,0,1,1,0.48568133578076761,0.48568133578076761,0.48568133578076761,0.48568133578076761,-0.00024859868270254992,0.00024859868270254992,0.00024862243060397304,1.2073974028831365,2.4859868270254992
34,10738,0,1,2,-1.1998469384848287,-299.99750371616312,6.3666229404727996,-302.00024866897814,0,1,1,0.48220906212760573,0.48220906212760573,0.48220906212760573,0.48220906212760573,-0.00024866897814490585,0.00024866897814490585,0.00024868581527925926,1.1991043473148513,2.4866897814490581
35,10739,0,1,2,-0.71877651263498865,-299.99904295753709,6.8995448959964527,-302.00024871575988,0,1,1,0.47993702380634917,0.47993702380634917,0.47993702380634917,0.47993702380634917,-0.00024871575988072436,0.00024871575988072436,0.00024872593218105976,1.1936790157088943,2.4871575988072436
