"case","success","constrained_dofs","prescribed_dofs","load_steps","nonlinear_iterations","total_time_s","max_displacement_mm","max_penetration_mm","contact_force_N","patch_length_mm","max_pressure_MPa","mean_pressure_MPa","active_facets","min_J","max_J","strain_energy","inner_prescribe_x","inner_prescribe_y","inner_fixed_x","inner_fixed_y","inner_dy","plane_final_offset"
"baseline_penalty_inner_uy_minus_10","True","122","121","27","704","1013.0657581","13.1415977424139","0.0060953284797165","272.859144056166","114.822836829653","3.04761416668953","2.376349092132","72","0.977206627660233","1.01949362528271","840.332107469898",,,,,"-10",
"moving_plane_inner_fixed","True","242","0","12","76","68.6842122","7.98821285860273","0.0117869758124129","528.709928617024","127.026981004572","5.89337480971608","4.16218605241036","74","0.931281994398402","1.02606520601752","1564.6020857654","0","0","1","1","0","-292"
"inner_x_fixed_uy_minus_10_probe","True","242","242","13","305","373.6715614","12.384942417385","0.0117869758124698","528.709928616704","127.026981004572","5.89337480971608","4.16218605240783","74","0.931281994398401","1.02606520601752","1564.6020857654","1",,,,"-10",
