case,success,load_steps,converged_load_steps,nonlinear_iterations,max_penetration,total_time_seconds,contact_force_norm,minimum_signed_distance,minimum_jacobian_determinant,maximum_jacobian_determinant,linear_solver_backend
penalty_contact,true,27,27,686,0.00609533,814.327,272.859,-0.006095401792,0.977207,1.01949,PardisoLDLT
augmented_lagrangian_contact,true,43,43,930,7.59007e-09,2996.83,273.028,-1.302396413e-08,0.977183,1.02092,mixed
no_contact_surrogate,true,8,8,32,0,30.4599,0,nan,0.973979,1.02496,PardisoLDLT

parameter,value
surrogate_max_pressure,3.06254
surrogate_contact_half_angle_rad,0.177812
surrogate_contact_half_angle_deg,10.1879
surrogate_contact_half_width,53.0617
surrogate_contact_center_x,-3.75798e-11
surrogate_total_normal_force,273.028
surrogate_active_facets,70
