case_name,contact_method,contact_parameter_name,contact_parameter_value,mesh_label,group_label,contact_patch_length,max_average_pressure_mpa,mean_active_pressure_mpa,total_normal_force_kn,center_of_pressure_arc
contact_focused_heavy_penalty_50,penalty,penalty_parameter,50.0,контактно-ориентированная тяжелая,Штрафной метод / контактно-ориентированная тяжелая,117.67332648372567,2.4719112897685136,1.9238513563735553,0.22638598876470387,-4.529709940470639e-11
contact_focused_heavy_penalty_500,penalty,penalty_parameter,500.0,контактно-ориентированная тяжелая,Штрафной метод / контактно-ориентированная тяжелая,116.0758824142727,2.485606662489204,1.9611956807622917,0.22764751923154328,-3.836930773104541e-11
contact_focused_heavy_penalty_5000,penalty,penalty_parameter,5000.0,контактно-ориентированная тяжелая,Штрафной метод / контактно-ориентированная тяжелая,116.0758824142727,2.4869839985797175,1.9622827713467346,0.22777370423039672,-4.503064587879635e-11
contact_focused_medium_penalty_10,penalty,penalty_parameter,10.0,контактно-ориентированная средняя,Штрафной метод / контактно-ориентированная средняя,120.72283997210916,2.4127921318154226,1.830412291998348,0.22097257020989813,2.6112445539183682e-11
contact_focused_medium_penalty_100,penalty,penalty_parameter,100.0,контактно-ориентированная средняя,Штрафной метод / контактно-ориентированная средняя,116.17140987081912,2.4794770418793637,1.9547609416023375,0.2270873345463535,4.3165471197426086e-11
contact_focused_medium_penalty_1000,penalty,penalty_parameter,1000.0,контактно-ориентированная средняя,Штрафной метод / контактно-ориентированная средняя,113.89569484801537,2.4863361201141747,1.9992028289285695,0.22770059534293743,-2.504663143554353e-11
contact_focused_medium_penalty_10000,penalty,penalty_parameter,10000.0,контактно-ориентированная средняя,Штрафной метод / контактно-ориентированная средняя,113.89569484801537,2.4870321496450742,1.999836179208606,0.22777273121316435,2.291500322826323e-10
contact_focused_medium_penalty_2000,penalty,penalty_parameter,2000.0,контактно-ориентированная средняя,Штрафной метод / контактно-ориентированная средняя,113.89569484801537,2.486722705555167,1.9995540773911396,0.22774060103064614,3.197442310920451e-11
contact_focused_medium_penalty_25,penalty,penalty_parameter,25.0,контактно-ориентированная средняя,Штрафной метод / контактно-ориентированная средняя,118.44712489362287,2.4568484399218,1.899734478845155,0.22501808708049362,2.9309887850104133e-12
contact_focused_medium_penalty_250,penalty,penalty_parameter,250.0,контактно-ориентированная средняя,Штрафной метод / контактно-ориентированная средняя,116.17140987081912,2.4840521227034174,1.958353839886112,0.227504726605502,3.943512183468556e-11
contact_focused_medium_penalty_50,penalty,penalty_parameter,50.0,контактно-ориентированная средняя,Штрафной метод / контактно-ориентированная средняя,118.44712489362287,2.4718759237870818,1.9112080107877074,0.2263770939514641,1.6786572132332367e-11
contact_focused_medium_penalty_500,penalty,penalty_parameter,500.0,контактно-ориентированная средняя,Штрафной метод / контактно-ориентированная средняя,116.17140987081912,2.4855720866696625,1.959452248881006,0.2276323303270536,-2.7711166694643907e-11
contact_focused_medium_penalty_5000,penalty,penalty_parameter,5000.0,контактно-ориентированная средняя,Штрафной метод / контактно-ориентированная средняя,113.89569484801537,2.48695477353067,1.999765556779989,0.22776468762258517,-2.120970066243899e-10
contact_focused_very_coarse_penalty_10,penalty,penalty_parameter,10.0,контактно-ориентированная очень грубая,Штрафной метод / контактно-ориентированная очень грубая,115.80990299835662,2.413804290059431,1.909831728071036,0.22117742717109048,2.665601073204016e-08
contact_focused_very_coarse_penalty_100,penalty,penalty_parameter,100.0,контактно-ориентированная очень грубая,Штрафной метод / контактно-ориентированная очень грубая,110.14289412657583,2.480696230892931,2.0632980364022555,0.22725761717502543,5.3149218359749284e-08
contact_focused_very_coarse_penalty_1000,penalty,penalty_parameter,1000.0,контактно-ориентированная очень грубая,Штрафной метод / контактно-ориентированная очень грубая,110.14289412657583,2.4876790135692772,2.070005729692263,0.22799642192690028,9.776867315736126e-07
contact_focused_very_coarse_penalty_10000,penalty,penalty_parameter,10000.0,контактно-ориентированная очень грубая,Штрафной метод / контактно-ориентированная очень грубая,110.14289412657583,2.488384420757938,2.0706864240488314,0.22807139557334835,-6.376541161756677e-06
contact_focused_very_coarse_penalty_2000,penalty,penalty_parameter,2000.0,контактно-ориентированная очень грубая,Штрафной метод / контактно-ориентированная очень грубая,110.14289412657583,2.48806884815167,2.0703834063002824,0.22803802032155143,2.153778488889202e-06
contact_focused_very_coarse_penalty_25,penalty,penalty_parameter,25.0,контактно-ориентированная очень грубая,Штрафной метод / контактно-ориентированная очень грубая,115.80990299835662,2.458059004961654,1.9454023083692589,0.22529685262502291,2.99328561936818e-07
contact_focused_very_coarse_penalty_250,penalty,penalty_parameter,250.0,контактно-ориентированная очень грубая,Штрафной метод / контактно-ориентированная очень грубая,110.14289412657583,2.4853459291520608,2.0677512974221255,0.22774811223205496,3.1213485129910623e-07
contact_focused_very_coarse_penalty_50,penalty,penalty_parameter,50.0,контактно-ориентированная очень грубая,Штрафной метод / контактно-ориентированная очень грубая,115.80990299835662,2.4731374436655074,1.957057836858163,0.2266466782487175,2.578635971417498e-07
contact_focused_very_coarse_penalty_500,penalty,penalty_parameter,500.0,контактно-ориентированная очень грубая,Штрафной метод / контактно-ориентированная очень грубая,110.14289412657583,2.486900688737137,2.0692519620954206,0.2279133997822852,5.053472307281481e-07
contact_focused_very_coarse_penalty_5000,penalty,penalty_parameter,5000.0,контактно-ориентированная очень грубая,Штрафной метод / контактно-ориентированная очень грубая,110.14289412657583,2.4883025450606056,2.0706103582395277,0.22806301746496752,9.892771934971734e-07
