arc_coordinate,relative_angle_deg,penetration,signed_distance,contact_normal_force_kn,normal_traction_estimate_mpa
-157.07963267949,-30.000000000000068,0.0,0.0,0.0,0.0
-151.5069797189028,-28.935701682224302,0.0,0.0,0.0,0.0
-145.93432675831775,-27.871403364448945,0.0,0.0,0.0,0.0
-140.36167379774653,-26.80710504667623,0.0,0.0,0.0,0.0
-134.7890208372995,-25.742806728927235,0.0,0.0,0.0,0.0
-129.21636787785218,-24.678508411369172,0.0,0.0,0.0,0.0
-123.64371492577418,-23.614210095218542,0.0,0.0,0.0,0.0
-118.07106202345743,-22.549911788571613,0.0,0.0,0.0,0.0
-112.49840942875275,-21.485613540674265,0.0,0.0,0.0,0.0
-106.92575857399973,-20.4213156250832,0.0,0.0,0.0,0.0
-101.35311672732739,-19.35701942990882,0.0,0.0,0.0,0.0
-95.78051756147232,-18.292731386170093,0.0,0.0,0.0,0.0
-90.20810326935198,-17.22847865071384,0.0,0.0,0.0,0.0
-84.63642095304226,-16.16436571233977,0.0,0.0,0.0,0.0
-79.06738619884504,-15.100758421082512,0.0,0.0,0.0,0.0
-73.50706847682282,-14.03881596033695,0.0,0.0,0.0,0.0
-67.9727253194283,-12.981834276017574,0.0,0.0,0.0,0.0
-62.50741540704192,-11.938036970315062,0.0,0.0,0.0,0.0
-57.20122837305537,-10.924629895800164,0.0,0.0,0.0,0.0
-52.19988603252066,-9.969443869091098,0.0,0.0,0.0,0.0
-47.66439911136899,-9.103229673695182,0.0,0.0,0.0,0.0
-43.69214620344675,-8.344585251086805,0.0,0.0,0.0,0.0
-40.279080743851296,-7.692737764297812,0.0,0.0,0.0,0.0
-37.3538104856447,-7.134052298529871,0.0,0.0,0.0,0.0
-34.825982763602696,-6.651272765832617,0.0,0.0,0.0,0.0
-32.613330425309606,-6.228687297452795,0.0,0.0,0.0,0.0
-30.650538384354586,-5.85382163075749,0.0,0.0,0.0,0.0
-28.886653907689386,-5.516944510552296,0.0,0.0,0.0,0.0
-27.2833169150692,-5.210729701171181,0.0,0.0,0.0,0.0
-25.811279912682927,-4.929591342758439,0.0,0.0,0.0,0.0
-24.447924104257268,-4.66920956343365,0.0,0.0,0.0,0.0
-23.175785288834305,-4.426248946505291,0.0,0.0,0.0,0.0
-21.9807700495962,-4.198017847631425,0.0,0.0,0.0,0.0
-20.85184704223426,-3.98240943524124,0.0,0.0,0.0,0.0
-19.779889026805986,-3.777680534910374,0.0,0.0,0.0,0.0
-18.757442366652555,-3.5824076068969126,0.0,0.0,0.0,0.0
-17.77836369570638,-3.3954173547086,0.0,0.0,0.0,0.0
-16.83738356892741,-3.215703388474867,0.0,0.0,0.0,0.0
-15.93017869197153,-3.0424400197973434,0.0,0.0,0.0,0.0
-15.052920488078847,-2.8748960443764173,0.0,0.0,0.0,0.0
-14.202260619802054,-2.7124319768650347,0.0,0.0,0.0,0.0
-13.37562086771813,-2.554555413624536,0.0,0.0,0.0,0.0
-12.570289841108195,-2.400748517172246,0.0,0.0,0.0,0.0
-11.78412733308054,-2.2506025381008983,0.0,0.0,0.0,0.0
-11.01521542722228,-2.1037511813574357,0.0,0.0,0.0,0.0
