arc_coordinate,relative_angle_deg,penetration,signed_distance,contact_normal_force_kn,normal_traction_estimate_mpa
-157.07963267949,-30.000000000000068,0.0,0.0,0.0,0.0
-151.05632462045745,-28.849632898367727,0.0,0.0,0.0,0.0
-145.0330165651728,-27.69926579745119,0.0,0.0,0.0,0.0
-139.00970853310747,-26.54889870096921,0.0,0.0,0.0,0.0
-132.98640063412606,-25.398531629904394,0.0,0.0,0.0,0.0
-126.96309344122358,-24.248164693690715,0.0,0.0,0.0,0.0
-120.9397897121967,-23.097798419028546,0.0,0.0,0.0,0.0
-114.91650169694569,-21.947435145476504,0.0,0.0,0.0,0.0
-108.89327958602254,-20.797084458723923,0.0,0.0,0.0,0.0
-102.87031305490659,-19.64678258411894,0.0,0.0,0.0,0.0
-96.84826188940647,-18.496655531468956,0.0,0.0,0.0,0.0
-90.8292360040405,-17.347106264764076,0.0,0.0,0.0,0.0
-84.81941557428989,-16.199315110576716,0.0,0.0,0.0,0.0
-78.8352464932676,-15.056423003125857,0.0,0.0,0.0,0.0
-72.91576178043053,-13.925884699999942,0.0,0.0,0.0,0.0
-67.14056655333485,-12.822903658744343,0.0,0.0,0.0,0.0
-61.64064321704137,-11.772495676027253,0.0,0.0,0.0,0.0
-56.573292677213516,-10.804703011875668,0.0,0.0,0.0,0.0
-52.056892864915305,-9.942134185747786,0.0,0.0,0.0,0.0
-48.12083774512583,-9.190403031431797,0.0,0.0,0.0,0.0
-44.71733577896168,-8.540382037346188,0.0,0.0,0.0,0.0
-41.76373105174722,-7.9762850866152615,0.0,0.0,0.0,0.0
-39.17560588525095,-7.481989590309163,0.0,0.0,0.0,0.0
-36.88093292376404,-7.04373933678921,0.0,0.0,0.0,0.0
-34.82227902486805,-6.650565403839571,0.0,0.0,0.0,0.0
-32.95486804911931,-6.293916178750205,0.0,0.0,0.0,0.0
-31.24429986023376,-5.967221719441941,0.0,0.0,0.0,0.0
-29.66394858137633,-5.6653968580198315,0.0,0.0,0.0,0.0
