arc_coordinate,relative_angle_deg,active,facet_length,active_length,integrated_normal_force_kn,average_pressure_mpa
-61.47976928055581,-11.741771017379659,1,4.068048114407862,4.068048114407862,0.005001050974123261,1.2293490227932582
-57.411690081976104,-10.964825121367728,1,4.068047946103444,4.068047946103444,0.00842083160465234,2.0699932046568392
-53.34361207472558,-10.187879452882909,1,4.068045731804572,4.068045731804572,0.009937120855748372,2.4427259453005945
-49.275547181879276,-9.4109362890648,1,4.068021717898106,4.068021717898106,0.011679520216175058,2.871056505128422
-45.20760138183606,-8.634015870296649,1,4.067807551672497,4.067807551672497,0.013267951473848101,3.2616959640563437
-41.140547674080885,-7.857265828605301,1,4.066237574312748,4.066237574312748,0.014822607953400216,3.6452882259112585
-37.078976161854186,-7.081562809134776,1,4.056843411924047,4.056843411924047,0.016282713022274936,4.013640993491663
-33.0446092062906,-6.311055477265321,1,4.011829693823537,4.011829693823537,0.01749149110824741,4.35997847445435
-29.11391621249182,-5.560348413577613,1,3.8494999899519318,3.8494999899519318,0.01795678459553093,4.664705713054217
-25.461226123289826,-4.862735993642485,1,3.455834670680971,3.455834670680971,0.01696519303054988,4.909144865777648
-22.300617885168172,-4.259104284513652,1,2.865351806300564,2.865351806300564,0.01461006572651648,5.098873267286308
-19.726006995329115,-3.7673898249263216,1,2.2838535668501136,2.2838535668501136,0.01199139033992519,5.250507525516923
-17.667266488425692,-3.374199351065689,1,1.8336190777099293,1.8336190777099293,0.009847356845579611,5.370448510973347
-15.99405054552303,-3.054638645257939,1,1.5128083510809203,1.5128083510809203,0.008264485080117356,5.463008631735988
-14.595263873692854,-2.7874900694745386,1,1.2847624079227766,1.2847624079227766,0.0071108838080144905,5.534785081010796
-13.393169402975591,-2.557906936980833,1,1.119424902299579,1.119424902299579,0.006259272705238139,5.591507471720546
-12.335857066152123,-2.3559751552238355,1,0.9951986655909048,0.9951986655909048,0.005610302220924746,5.637369115234492
-11.388141300677557,-2.1749747767581593,1,0.9002320712700286,0.9002320712700286,0.005109022808176248,5.675228611849548
-10.525419167466143,-2.010206986339702,1,0.8252115972300713,0.8252115972300713,0.00470946617436544,5.706980112947234
-9.730209130882272,-1.8583330565973701,1,0.7652080083399794,0.7652080083399794,0.004387717315005869,5.734019073486252
-8.989465539294716,-1.716861451599606,1,0.7162787972640081,0.7162787972640081,0.004123802096391773,5.757258363843221
-8.293461507187505,-1.5839344730535023,1,0.6757289539710643,0.6757289539710643,0.0039039743241140695,5.7774264387688845
-7.634575529187426,-1.458096520654322,1,0.6420427366555819,0.6420427366555819,0.003720654643268373,5.79502645361174
-7.006806526105169,-1.338201472701827,1,0.6134950400796301,0.6134950400796301,0.003564679256625554,5.810445111606555
-6.405400149475415,-1.2233413155246933,1,0.5893175115258089,0.5893175115258089,0.0034321886093516183,5.824005807099297
-5.8263191149031,-1.11274498460115,1,0.568844377648376,0.568844377648376,0.0033197393014481823,5.8359358585420305
-5.2661550904590015,-1.0057615364821169,1,0.5514835083722504,0.5514835083722504,0.003224192438025893,5.846398648515105
-4.722273352853978,-0.9018877760854185,1,0.5362798177839011,0.5362798177839011,0.003140227281399551,5.855576095285642
-4.192243569123022,-0.8006595440053665,1,0.5237796117481888,0.5237796117481888,0.003071222615226633,5.86357801323345
-3.673900323783208,-0.7016632763484147,1,0.5129067499364761,0.5129067499364761,0.0030110101487173697,5.870482595696559
-3.165501152165451,-0.6045661868762657,1,0.5038914715985859,0.5038914715985859,0.002961064517066463,5.87639339811119
-2.6653186029887976,-0.5090383566965425,1,0.4964735108677875,0.4964735108677875,0.0029199365453586993,5.881354153729035
-2.171859144923438,-0.4147945423366827,1,0.49044529399262904,0.49044529399262904,0.0028864760789108664,5.885419055431384
-1.6837957762091627,-0.32158130512913163,1,0.4856813357807676,0.4856813357807676,0.0028599971070956474,5.88862881151897
-1.199850524779933,-0.22915457038815717,1,0.4822090621276057,0.4822090621276057,0.0028406995989845698,5.891012471749946
-0.7187774302680694,-0.13727637721206404,1,0.4799370238063492,0.4799370238063492,0.0028280719203581284,5.89258961088035
-0.239404446387681,-0.04572288124893369,1,0.4788088419547734,0.4788088419547734,0.0028217999678387846,5.893374809701869
0.23940444638688163,0.045722881248781023,1,0.478808841954507,0.478808841954507,0.0028217999678440187,5.893374809716078
0.7187774302670036,0.13727637721186048,1,0.47993702380634906,0.47993702380634906,0.002828071920351307,5.892589610866138
1.1998505247791336,0.22915457038800452,1,0.4822090621278728,0.4822090621278728,0.002840699598986143,5.891012471749947
1.6837957762083633,0.321581305128979,1,0.4856813357807674,0.4856813357807674,0.002859997107095646,5.88862881151897
2.1718591449226388,0.41479454233653007,1,0.4904452939923628,0.4904452939923628,0.0028864760789092995,5.885419055431385
2.6653186029879983,0.5090383566963899,1,0.496473510867786,0.496473510867786,0.0029199365453586906,5.881354153729035
3.1655011521646514,0.6045661868761131,1,0.5038914715988541,0.5038914715988541,0.0029610645170608783,5.8763933980969805
3.673900323782675,0.701663276348313,1,0.5129067499364754,0.5129067499364754,0.0030110101487173654,5.870482595696557
4.192243569122223,0.8006595440052139,1,0.5237796117479232,0.5237796117479232,0.0030712226152250755,5.86357801323345
4.722273352852913,0.901887776085215,1,0.5362798177838993,0.5362798177838993,0.0031402272813995406,5.855576095285642
5.266155090458202,1.005761536481964,1,0.5514835083722504,0.5514835083722504,0.003224192438025893,5.846398648515105
5.826319114902301,1.1127449846009974,1,0.568844377648376,0.568844377648376,0.0033197393014562657,5.83593585855624
6.405400149474616,1.2233413155245405,1,0.5893175115258089,0.5893175115258089,0.0034321886093516183,5.824005807099297
7.0068065261041035,1.3382014727016234,1,0.6134950400796324,0.6134950400796324,0.0035646792566255674,5.810445111606555
7.63457552918636,1.4580965206541183,1,0.6420427366555804,0.6420427366555804,0.003720654643259241,5.795026453597529
8.29346150718644,1.5839344730532987,1,0.6757289539710649,0.6757289539710649,0.003903974324123676,5.777426438783095
8.98946553929365,1.7168614515994023,1,0.7162787972640065,0.7162787972640065,0.004123802096391764,5.757258363843221
9.730209130881207,1.8583330565971667,1,0.7652080083397166,0.7652080083397166,0.004387717314993488,5.734019073472042
10.525419167464811,2.0102069863394476,1,0.8252115972300695,0.8252115972300695,0.004709466174353704,5.706980112933024
11.388141300676224,2.174974776757905,1,0.9002320712700304,0.9002320712700304,0.005109022808189051,5.6752286118637585
12.335857066151057,2.3559751552236317,1,0.9951986655909024,0.9951986655909024,0.005610302220924733,5.637369115234492
13.393169402973992,2.5579069369805274,1,1.1194249022990483,1.1194249022990483,0.006259272705235173,5.591507471720548
14.595263873690989,2.7874900694741824,1,1.2847624079225106,1.2847624079225106,0.007110883808013018,5.534785081010796
15.994050545521166,3.0546386452575827,1,1.5128083510809152,1.5128083510809152,0.008264485080117326,5.463008631735987
17.66726648842356,3.3741993510652817,1,1.833619077709401,1.833619077709401,0.009847356845576775,5.370448510973347
19.726006995326184,3.767389824925762,1,2.283853566849309,2.283853566849309,0.011991390339888507,5.250507525502712
22.300617885164442,4.25910428451294,1,2.865351806300032,2.865351806300032,0.01461006572651377,5.098873267286308
25.461226123285563,4.862735993641671,1,3.4558346706801686,3.4558346706801686,0.016965193030496827,4.9091448657634364
29.113916212486757,5.560348413576647,1,3.849499989951399,3.849499989951399,0.017956784595473743,4.664705713040007
33.04460920628527,6.311055477264303,1,4.0118296938235405,4.0118296938235405,0.017491491108190416,4.35997847444014
