radius_мм,relative_angle_deg,sigma_rr_mpa,sigma_tt_mpa,radial_displacement_мм
249.99999999999997,-4.579998741307465e-13,-2.459664005620314,0.25321235711515755,9.999999999999938
250.50921518418426,-4.579998741307465e-13,-2.4593935376055205,0.25503051987607683,9.910839151715376
251.01816650968053,-4.579998741307465e-13,-2.4588477974936227,0.258486689326647,9.82163115666735
251.52659158313938,-4.579998741307465e-13,-2.45829458642047,0.261586091468801,9.73243347092
252.03423075285033,-4.579998741307465e-13,-2.457738024211416,0.2643359803086644,9.64330280510747
252.54082844850714,-4.579998741307465e-13,-2.4571819319432118,0.26674391343177034,9.554294855294907
253.04613342517627,-4.579998741307465e-13,-2.456629843401053,0.26881771105432767,9.46546422936396
253.54990245532028,-4.579998741307465e-13,-2.4560850066753104,0.27056542339183326,9.376863770452331
254.05189910630986,-4.579998741307465e-13,-2.455550386336075,0.27199529501101954,9.288544747495767
254.5518944790209,-4.579998741307465e-13,-2.4550286660384737,0.27311573147643203,9.2005567051093
255.04967096067796,-4.579998741307465e-13,-2.4545222521992263,0.27393526796996887,9.112946786450705
255.54502018941105,-4.579998741307465e-13,-2.454033281046433,0.2744625347814477,9.025760078332558
256.0377429855442,-4.579998741307465e-13,-2.453563626277631,0.27470622517057336,8.93903961408262
256.52765432524086,-4.579998741307465e-13,-2.4531149075062118,0.27467506503665357,8.852825492387694
257.01457949163677,-4.579998741307465e-13,-2.4526885016634132,0.27437778186911704,8.767155552438131
257.49835593970226,-4.579998741307465e-13,-2.4522855555401484,0.27382307691544056,8.682065046618256
257.9788312692256,-4.579998741307465e-13,-2.4519069976855694,0.2730195979628011,8.59758700071329
258.4558698271873,-4.579998741307465e-13,-2.451553551683923,0.27197591378601355,8.513751059608484
258.92934334382943,-4.579998741307465e-13,-2.451225750854485,0.2707004921951563,8.430585142566708
259.3991393303705,-4.579998741307465e-13,-2.4509239522227406,0.2692016787153194,8.348113978376206
259.8651543485281,-4.579998741307465e-13,-2.4506483510293275,0.2674876797776983,8.266360300699285
260.3272970513723,-4.579998741307465e-13,-2.450398994829324,0.26556654592863593,8.185344328159559
260.78548805204065,-4.579998741307465e-13,-2.4501757969912816,0.2634461536297493,8.105083803500502
