mesh_label,contact_parameter_value,penalty_case_name,al_case_name,penalty_max_penetration,al_max_penetration,penalty_total_time_seconds,al_total_time_seconds,penalty_total_normal_force_kn,al_total_normal_force_kn,penalty_contact_patch_length,al_contact_patch_length
контактно-ориентированная плотная,25.0,penalty_contact_focused_dense_penalty_parameter_25,augmented_lagrangian_contact_focused_dense_augmentation_parameter_25,0.09827408820171968,1.681979711065651e-07,137.69916270000002,1714.4079916,0.2250051669588876,0.22776957715507815,117.86846476494544,114.16487287753353
контактно-ориентированная плотная,50.0,penalty_contact_focused_dense_penalty_parameter_50,augmented_lagrangian_contact_focused_dense_augmentation_parameter_50,0.04943777734564492,6.911420769029064e-09,77.30639190000001,1242.4958291,0.22638205991132504,0.2277695787585937,117.86846476494544,114.16487287753353
контактно-ориентированная плотная,100.0,penalty_contact_focused_dense_penalty_parameter_100,augmented_lagrangian_contact_focused_dense_augmentation_parameter_100,0.02479471523383836,3.542652393662138e-09,98.1647068,835.1429586,0.22707036525113275,0.22776957875849577,116.01666882123949,114.16487287753353
контактно-ориентированная плотная,250.0,penalty_contact_focused_dense_penalty_parameter_250,augmented_lagrangian_contact_focused_dense_augmentation_parameter_250,0.009936206378199586,1.3706653589906637e-09,99.23085950000001,503.63985240000005,0.22749623342550743,0.22776957876070314,116.01666882123949,114.16487287753353
контактно-ориентированная плотная,500.0,penalty_contact_focused_dense_penalty_parameter_500,augmented_lagrangian_contact_focused_dense_augmentation_parameter_500,0.004971154816075796,6.809273145336192e-10,108.6255139,358.0575288,0.22763230589067113,0.227769578761034,116.01666882123949,114.16487287753353
контактно-ориентированная плотная,1000.0,penalty_contact_focused_dense_penalty_parameter_1000,augmented_lagrangian_contact_focused_dense_augmentation_parameter_1000,0.0024863355300794865,2.9814373192493804e-10,108.62748250000001,285.8562994,0.22769302698857133,0.22776957875845547,116.01666882123949,114.16487287753353
контактно-ориентированная плотная,2000.0,penalty_contact_focused_dense_penalty_parameter_2000,augmented_lagrangian_contact_focused_dense_augmentation_parameter_2000,0.001243359570651137,1.5234036254696548e-10,129.1350037,244.6323064,0.2277292216137966,0.22776957875820694,114.16487287753353,114.16487287753353
контактно-ориентированная плотная,5000.0,penalty_contact_focused_dense_penalty_parameter_5000,augmented_lagrangian_contact_focused_dense_augmentation_parameter_5000,0.0004973902410938535,2.1714186004828662e-11,129.8595846,212.69072450000002,0.22775340151618867,0.2277695787577053,114.16487287753353,114.16487287753353
контактно-ориентированная плотная,10000.0,penalty_contact_focused_dense_penalty_parameter_10000,augmented_lagrangian_contact_focused_dense_augmentation_parameter_10000,0.0002487028585846929,5.115907697472721e-12,129.83540200000002,193.1388707,0.2277614841561466,0.22776957876345483,114.16487287753353,114.16487287753353
контактно-ориентированная средняя,10.0,penalty_contact_focused_medium_penalty_parameter_10,augmented_lagrangian_contact_focused_medium_augmentation_parameter_10,0.24127978616064638,2.1910070074682153e-05,27.332891900000003,834.9028003000001,0.22097257020935954,0.22778056707240105,120.72283997210916,113.89569484801537
