radius_мм,relative_angle_deg,sigma_rr_mpa,sigma_tt_mpa,radial_displacement_мм
249.99999999999997,-4.579998741307465e-13,-4.561003465818893,-4.127048215192659,-0.0
250.88872031073345,-4.579998741307465e-13,-4.582124851292592,-4.055423986830601,-0.041480347292572335
251.77643216139188,-4.579998741307465e-13,-4.62244282213722,-3.9155563260671924,-0.0924962130727005
252.6621386149968,-4.579998741307465e-13,-4.659098511441966,-3.7823667997937456,-0.15229845990550356
253.54486449320447,-4.579998741307465e-13,-4.692447622660186,-3.655686849222258,-0.22015832183249454
254.42366829287116,-4.579998741307465e-13,-4.722810659766975,-3.535344409596197,-0.2953697480397706
255.29764999015308,-4.579998741307465e-13,-4.750477312566787,-3.4211633396052035,-0.3772515929479572
256.16595965300536,-4.579998741307465e-13,-4.7757096010525295,-3.3129628482225195,-0.46514985645600565
257.0278054380143,-4.579998741307465e-13,-4.798744510502981,-3.210557376816094,-0.5584398292224101
257.8824563132769,-4.579998741307465e-13,-4.819796286012314,-3.113756981715065,-0.656527542556879
258.7292477869787,-4.579998741307465e-13,-4.8390584988014815,-3.022367961486558,-0.7588513190615337
259.5675837538663,-4.579998741307465e-13,-4.856705900276054,-2.9361937336902093,-0.8648826867773447
260.3969365231511,-4.579998741307465e-13,-4.872896106595326,-2.855035899658089,-0.974126805038907
261.21684779907406,-4.579998741307465e-13,-4.887771143111971,-2.778695360647085,-1.0861227649700844
262.02692506129307,-4.0711099922733015e-13,-4.901458867278099,-2.7069734292105285,-1.2004430436001947
262.82684275857144,-4.0711099922733015e-13,-4.914074272668861,-2.6396729318891166,-1.3166933998319186
263.6163332611696,-4.0711099922733015e-13,-4.925720691615785,-2.576599234252805,-1.434511120316907
264.3951909570323,-4.0711099922733015e-13,-4.936490915474323,-2.5175610996389244,-1.5535649979913861
265.1632612883274,-4.0711099922733015e-13,-4.946468202628632,-2.4623715490909057,-1.6735529614903226
265.9204391907733,-4.0711099922733015e-13,-4.955727212387103,-2.4108485593291236,-1.794200965422584
266.6666650092832,-4.0711099922733015e-13,-4.96433487388087,-2.3628155507991866,-1.9152614379610695
267.40192006358205,-4.0711099922733015e-13,-4.972351168853962,-2.3181018240711415,-2.036511613785195
268.1262223891491,-4.0711099922733015e-13,-4.979829833974571,-2.276542951468551,-2.157751855392295
268.8396179424702,-4.0711099922733015e-13,-4.986819009897701,-2.2379809752653053,-2.2788031790710193
269.542187371632,-4.0711099922733015e-13,-4.993361837664254,-2.202264498558989,-2.3995074080301175
270.2340279245504,-4.0711099922733015e-13,-4.99949697946146,-2.1692487762059125,-2.5197231227240113
270.91526539086436,-4.0711099922733015e-13,-5.005259103147777,-2.138795660231872,-2.6393267637661255
271.5860378502976,-4.0711099922733015e-13,-5.0106793065384405,-2.1107735638725806,-2.758208908478386
272.24650024912626,-4.0711099922733015e-13,-5.015785496295392,-2.085057355998658,-2.876274188748312
272.8968186221936,-3.562221243239139e-13,-5.020602742442376,-2.061528158263984,-2.993439446078131
273.53717060689627,-3.562221243239139e-13,-5.025153584287651,-2.0400731707722324,-3.109633046418553
274.16774003505293,-3.562221243239139e-13,-5.029458303610057,-2.02058547178653,-3.2247931746378873
274.78871815814335,-3.562221243239139e-13,-5.033535167774453,-2.0029638020997176,-3.338867371529225
275.40029797062476,-3.562221243239139e-13,-5.03740064544784,-1.987112337067873,-3.4518108563482643
276.00267623617214,-3.562221243239139e-13,-5.041069607455846,-1.9729404076194965,-3.563586302141323
276.59605533048875,-3.562221243239139e-13,-5.04455550205962,-1.9603622665315574,-3.674163637327816
277.1806317553696,-3.562221243239139e-13,-5.047870494692802,-1.9492968879864339,-3.7835174008471215
277.7566059072009,-3.562221243239139e-13,-5.051025611242464,-1.9396676937326571,-3.891628088719374
278.32417641928043,-3.562221243239139e-13,-5.054030863162499,-1.9314023169794108,-3.998480669617676
278.88353943343117,-3.053332494204976e-13,-5.0568953484353845,-1.9244323911027297,-4.104064047723829
279.4348905690013,-3.053332494204976e-13,-5.059627345477162,-1.9186933329550508,-4.208371068581481
279.97841691978664,-3.053332494204976e-13,-5.062234397149035,-1.9141241258483883,-4.311396668511822
280.51431076246155,-3.053332494204976e-13,-5.064723395705034,-1.9106671019530035,-4.413140162059272
281.0427559151723,-3.053332494204976e-13,-5.067100641132666,-1.9082677683899099,-4.513602376527651
281.56393150916284,-3.053332494204976e-13,-5.069371896341363,-1.9068746236334553,-4.612786104521442
282.07801644145286,-3.053332494204976e-13,-5.071542451864628,-1.9064389724654855,-4.710696714818811
282.5851848515629,-3.053332494204976e-13,-5.073617164032191,-1.9069147661532637,-4.807341075346339
283.08560125114815,-3.053332494204976e-13,-5.075600496599124,-1.90825844732471,-4.902726424912151
283.57943556684165,-3.053332494204976e-13,-5.077496567337274,-1.9104288030932144,-4.996863058225225
284.0668455928776,-2.5444437451708134e-13,-5.079309173330242,-1.9133868225274926,-5.089760814886977
284.547988230494,-2.5444437451708134e-13,-5.081041822420224,-1.9170955701995989,-5.18143106908751
285.023016739207,-2.5444437451708134e-13,-5.082697763341863,-1.9215200632626928,-5.271886065809596
285.49207786640267,-2.5444437451708134e-13,-5.084280004941417,-1.926627147434783,-5.361138246501854
285.95531511176887,-2.5444437451708134e-13,-5.085791339706834,-1.9323853885322524,-5.449200754266965
286.4128669517487,-2.5444437451708134e-13,-5.087234368114946,-1.938764987764041,-5.536086989299598
286.86487230759724,-2.5444437451708134e-13,-5.088611513728747,-1.9457376864106657,-5.6218115485351845
287.31146096041454,-2.5444437451708134e-13,-5.089925034946603,-1.9532766590515356,-5.706388316151002
287.7527619699213,-2.5444437451708134e-13,-5.091177041342359,-1.9613564371389731,-5.789831979132487
288.18889882936253,-2.0355549961366507e-13,-5.092369507534635,-1.9699528400264767,-5.872157033552016
288.619993498457,-2.0355549961366507e-13,-5.093504279759632,-1.9790428791948156,-5.953378477692379
289.04615913167163,-2.0355549961366507e-13,-5.09458309162048,-1.9886047071273767,-6.033510378975272
289.467513635925,-2.0355549961366507e-13,-5.095607572391295,-1.998617576044826,-6.112568367450136
289.8841647635843,-2.0355549961366507e-13,-5.096579248002623,-2.0090617318884636,-6.190566778192631
290.29621880868416,-2.0355549961366507e-13,-5.097499555373577,-2.0199183764143704,-6.267520239104746
290.7037805654465,-2.0355549961366507e-13,-5.098369848331435,-2.0311696547758844,-6.34344361456983
291.10695199574525,-2.0355549961366507e-13,-5.09919139388352,-2.0427985472654955,-6.418351712988549
291.5058267226625,-2.0355549961366507e-13,-5.099965384989417,-2.0547888239536602,-6.4922582292583355
291.9005020717795,-2.0355549961366507e-13,-5.100692946880213,-2.067125064355633,-6.5651779457184665
292.2910698622207,-1.526666247102488e-13,-5.101375132414695,-2.079792585299332,-6.637124988788591
292.6776192680267,-1.526666247102488e-13,-5.102012928614759,-2.0927773742885356,-6.7081133315920125
293.06023629444485,-1.526666247102488e-13,-5.102607257594414,-2.1060660536471456,-6.7781566710954415
293.43900318286893,-1.526666247102488e-13,-5.103158987319757,-2.119645887585955,-6.8472682965776555
293.81400454123985,-1.526666247102488e-13,-5.103668927029112,-2.1335047698165726,-6.915462183686106
294.1853187078849,-1.526666247102488e-13,-5.104137823299751,-2.147631117608695,-6.982751396039385
294.55302105329355,-1.526666247102488e-13,-5.104566373088422,-2.1620138445124133,-7.049148673373969
294.91718583338644,-1.526666247102488e-13,-5.104955225487927,-2.17664239184509,-7.114666749036714
295.2778860787853,-1.526666247102488e-13,-5.105304982363891,-2.1915067198013904,-7.179318310362505
295.63519370058776,-1.0177774980683254e-13,-5.105616194726894,-2.206597247339513,-7.243115999441909
