arc_coordinate,relative_angle_deg,penetration,signed_distance,contact_normal_force_kn,normal_traction_estimate_mpa
-157.07963267949,-30.000000000000068,0.0,0.0,0.0,0.0
-149.30383588711268,-28.514932204818123,0.0,0.0,0.0,0.0
-141.5280390953754,-27.02986440975841,0.0,0.0,0.0,0.0
-133.75224231213582,-25.544796616321648,0.0,0.0,0.0,0.0
-125.97644562661357,-24.059728841547514,0.0,0.0,0.0,0.0
-118.20064991258246,-22.574661252314527,0.0,0.0,0.0,0.0
-110.42486254864929,-21.089595257832773,0.0,0.0,0.0,0.0
-102.64913724690939,-19.60454111635682,0.0,0.0,0.0,0.0
-94.87381020882512,-18.119563037636212,0.0,0.0,0.0,0.0
-87.10068769119452,-16.635005991308415,0.0,0.0,0.0,0.0
-79.33806182721099,-15.152453658157247,0.0,0.0,0.0,0.0
-71.61798274081734,-13.678027160965353,0.0,0.0,0.0,0.0
-64.04094748589628,-12.230920023202657,0.0,0.0,0.0,0.0
-56.84050599723385,-10.855736996765147,0.0,0.0,0.0,0.0
-50.35878135779743,-9.617818777412941,0.0,0.0,0.0,0.0
-44.834627468818056,-8.56278310001528,0.0,0.0,0.0,0.0
-40.253338937142935,-7.68782144135971,0.0,0.0,0.0,0.0
-36.444997555151026,-6.960481814249191,0.0,0.0,0.0,0.0
-33.22340264985222,-6.345202509667626,0.0,0.0,0.0,0.0
-30.439822714873266,-5.813577902295646,0.0,0.0,0.0,0.0
-27.986214309858948,-5.344973215011826,0.0,0.0,0.0,0.0
-25.785970125008184,-4.924757529377989,0.0,0.0,0.0,0.0
-23.783894787004023,-4.542389305595102,0.0,0.0,0.0,0.0
-21.939817997041544,-4.190196581718826,0.0,0.0,0.0,0.0
-20.22366847702939,-3.862436166685164,0.0,0.0,0.0,0.0
-18.612551906480146,-3.554735567364955,0.0,0.0,0.0,0.0
-17.088593192320634,-3.2636808924532086,0.0,0.0,0.0,0.0
-15.63768276896722,-2.986577413420908,0.0,0.0,0.0,0.0
-14.248267257383507,-2.7212185974083853,0.0,0.0,0.0,0.0
-12.910997581439432,-2.465818902400309,0.0,0.0,0.0,0.0
-11.617997180492612,-2.218874016123723,0.0,0.0,0.0,0.0
-10.362634155468076,-1.979117339154783,0.0,0.0,0.0,0.0
-9.139257579506577,-1.745469623962251,0.0,0.0,0.0,0.0
-7.9428705881840145,-1.5169765397384594,0.0,0.0,0.0,0.0
-6.769034001467489,-1.2927902655487953,0.0,0.0,0.0,0.0
-5.613798437330519,-1.0721565249872518,0.0,0.0,0.0,0.0
-4.473653340829031,-0.8544048514470144,0.0,0.0,0.0,0.0
-3.3452226610665825,-0.6388904667021248,0.0,0.0,0.0,0.0
-2.225414994967778,-0.4250229562559367,0.0,0.0,0.0,0.0
-1.1113051673484087,-0.21224365280047824,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.1113051673484087,0.21224365280047824,0.0,0.0,0.0,0.0
2.2254149949675117,0.4250229562558859,0.0,0.0,0.0,0.0
3.345222661066316,0.6388904667020738,0.0,0.0,0.0,0.0
4.473653340829031,0.8544048514470144,0.0,0.0,0.0,0.0
5.613798437330519,1.0721565249872518,0.0,0.0,0.0,0.0
6.769034001467489,1.2927902655487953,0.0,0.0,0.0,0.0
7.942870588183748,1.5169765397384085,0.0,0.0,0.0,0.0
9.139257579506577,1.745469623962251,0.0,0.0,0.0,0.0
10.362634155468076,1.979117339154783,0.0,0.0,0.0,0.0
11.617997180492612,2.218874016123723,0.0,0.0,0.0,0.0
12.910997581439432,2.465818902400309,0.0,0.0,0.0,0.0
14.24826725738324,2.7212185974083343,0.0,0.0,0.0,0.0
15.63768276896722,2.986577413420908,0.0,0.0,0.0,0.0
17.088593192320634,3.2636808924532086,0.0,0.0,0.0,0.0
18.612551906480146,3.554735567364955,0.0,0.0,0.0,0.0
20.22366847702939,3.862436166685164,0.0,0.0,0.0,0.0
21.939817997041544,4.190196581718826,0.0,0.0,0.0,0.0
23.783894787003756,4.542389305595051,0.0,0.0,0.0,0.0
25.785970125007918,4.924757529377938,0.0,0.0,0.0,0.0
27.986214309858948,5.344973215011826,0.0,0.0,0.0,0.0
30.439822714873,5.813577902295594,0.0,0.0,0.0,0.0
33.223402649851685,6.345202509667524,0.0,0.0,0.0,0.0
36.44499755515076,6.960481814249141,0.0,0.0,0.0,0.0
40.25333893714213,7.687821441359558,0.0,0.0,0.0,0.0
44.83462746881752,8.562783100015176,0.0,0.0,0.0,0.0
50.3587813577969,9.61781877741284,0.0,0.0,0.0,0.0
56.84050599723305,10.855736996764994,0.0,0.0,0.0,0.0
64.04094748589574,12.230920023202556,0.0,0.0,0.0,0.0
71.61798274081681,13.67802716096525,0.0,0.0,0.0,0.0
79.3380618272102,15.152453658157095,0.0,0.0,0.0,0.0
87.10068769119373,16.63500599130826,0.0,0.0,0.0,0.0
94.8738102088246,18.11956303763611,0.0,0.0,0.0,0.0
102.64913724690885,19.604541116356717,0.0,0.0,0.0,0.0
110.42486254864849,21.08959525783262,0.0,0.0,0.0,0.0
118.20064991258165,22.574661252314375,0.0,0.0,0.0,0.0
125.97644562661303,24.059728841547415,0.0,0.0,0.0,0.0
133.7522423121353,25.54479661632155,0.0,0.0,0.0,0.0
141.5280390953746,27.029864409758257,0.0,0.0,0.0,0.0
149.3038358871119,28.51493220481797,0.0,0.0,0.0,0.0
157.07963267948946,29.999999999999964,0.0,0.0,0.0,0.0
