relative_angle_deg,reaction_radial_kn,reaction_tangential_kn,reaction_magnitude_kn
-30.000000000000068,-0.00044698666401756323,-0.00025806787079474307,0.000516135741589441
-29.5000000000001,-0.00026291719791532187,-0.00014875139349787212,0.00030208017152273225
-29.00000000000013,-0.00021412327846013089,-0.00011869047137721274,0.0002448187214537722
-28.50000000000006,-0.00018079167325453488,-9.816186944074571e-05,0.00020572161220998758
-28.00000000000009,-0.00015752388645653168,-8.375693614090929e-05,0.0001784068360688083
-27.50000000000012,-0.00014010383455414344,-7.29334399246546e-05,0.00015795053376300438
-27.000000000000153,-0.00012634883234039927,-6.437794559116156e-05,0.0001418046096300148
-26.500000000000185,-0.00011488879076312068,-5.728143804606697e-05,0.0001283767790047621
-26.000000000000213,-0.00010480966084781548,-5.111908719204365e-05,0.00011661143203983849
-25.500000000000245,-9.543140999652924e-05,-4.5518447619286384e-05,0.0001057311831372154
-25.000000000000277,-8.619901809719522e-05,-4.0195262264049965e-05,9.511009320464546e-05
-24.500000000000256,-7.661968568573014e-05,-3.491760245774324e-05,8.420104034973128e-05
-24.000000000000288,-6.622530275939153e-05,-2.9485404481626523e-05,7.249261895543706e-05
-23.50000000000037,-5.4547869160419416e-05,-2.3718088538568745e-05,5.948123867124508e-05
-23.0000000000003,-4.1102147306357955e-05,-1.7446826423773556e-05,4.4651744259937164e-05
-22.50000000000033,-2.5372456252866566e-05,-1.0509615490730165e-05,2.7462948750391376e-05
-22.000000000000362,-6.801961190981127e-06,-2.7481707082994662e-06,7.336151462829035e-06
-21.500000000000394,1.5216434305792401e-05,5.99391287459754e-06,1.635441422157217e-05
-21.000000000000423,4.134803163405401e-05,1.587202226386869e-05,4.42897370815799e-05
-20.500000000000405,7.23232450528572e-05,2.7040553295945815e-05,7.721297363478834e-05
-20.000000000000437,0.00010894334801244185,3.965213589782496e-05,0.00011593508941394576
-19.500000000000465,0.00015208467735885775,5.3856008850092135e-05,0.00016133883220294197
-19.000000000000497,0.00020270061958030838,6.979542055243734e-05,0.00021438036735749028
-18.50000000000053,0.00026182032076891453,8.760385387976741e-05,0.0002760875143539181
-18.000000000000508,0.0003305425361492957,0.00010739978043761862,0.00034755299026487617
-17.50000000000054,0.00041002390804363386,0.00012928004161756905,0.0004299220095878027
-17.000000000000572,0.0005014517379215274,0.0001533091815534788,0.0005243639486207243
-16.5000000000006,0.0006059941806338992,0.0001795036541722577,0.0006320209718224106
-16.000000000000632,0.0007247321671512045,0.00020781360484161242,0.0007539384646381608
-15.500000000000613,0.0008585856548000659,0.00023810687525366406,0.0008909905783292671
-15.000000000000645,0.0010082468863270924,0.00027015893896257983,0.0010438139853870822
-14.500000000000727,0.001174113053415381,0.0003036462816350362,0.0012127417394281327
-14.000000000000655,0.001356130030807004,0.00033812119217681985,0.001397646092920407
-13.500000000000636,0.001553529570907206,0.0003729694515776104,0.0015976734145291493
-13.000000000000616,0.001765055130227235,0.00040749508515252193,0.0018114833306340256
-12.500000000000647,0.0019895743564091483,0.0004410780157471769,0.0020378802554753663
-12.000000000000627,0.002226058447802781,0.0004731633297414666,0.0022757899177310186
-11.500000000000608,0.0024733620150532284,0.0005032111892697714,0.0025240327174017503
