facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,119658,0,0,0,-64.713572291560467,-292.93602647053319,-62.652648130126572,-301.58241651648797,0,1,1,1.5974441086477675,0,1.5974441086477675,0,0.41758348351203273,0,0,0,0
1,119659,0,0,0,-63.152830622021597,-293.27646006372032,-61.004184187423618,-301.73469681080161,0,1,1,1.5974441077420825,0,1.5974441077420825,0,0.26530318919839141,0,0,0,0
2,119660,0,0,0,-61.590298341658027,-293.60857820109504,-59.355326835071644,-301.85602805634579,0,1,1,1.597444104857995,0,1.597444104857995,0,0.14397194365417931,0,0,0,0
3,119661,0,0,0,-60.026019757848587,-293.93237146513894,-57.708547799929761,-301.94359575101981,0,1,1,1.5974440960067076,0,1.5974440960067076,0,0.056404248980214788,0,0,0,0
4,119662,0,1,1,-58.460039235215945,-294.24783067293504,-56.067336722162509,-301.99421055698025,0,1,1,1.5974440694528491,0.79872203472642456,1.5974440694528491,0.79872203472642456,0.0057894430196938629,0.0016237359551780628,0.0032474719103561256,0.12969136859782768,0.08118679775890314
5,119663,0,1,2,-56.892401208442621,-294.55494687394105,-54.425254777577152,-302.01369679331219,0,1,1,1.5974439926263153,1.5974439926263153,1.5974439926263153,1.5974439926263153,-0.013696793312163891,0.013696793312163891,0.015910262173804313,1.093993009738025,0.68483966560819454
6,119664,0,1,2,-55.323150219076034,-294.85371134374884,-52.767933643067252,-302.01911537086443,0,1,1,1.5974437765692309,1.5974437765692309,1.5974437765692309,1.5974437765692309,-0.019115370864398074,0.019115370864398074,0.020030319211173264,1.5267865112072752,0.95576854321990368
7,119665,0,1,2,-53.752331014222442,-295.14411556789378,-51.094441305093206,-302.02179142887576,0,1,1,1.5974431861329637,1.5974431861329637,1.5974431861329637,1.5974431861329637,-0.02179142887575836,0.02179142887575836,0.022421503342172855,1.7405284786840647,1.0895714437879178
8,119666,0,1,2,-52.179988793844061,-295.42615120285927,-49.412001740655583,-302.02380944811597,0,1,1,1.5974416291298239,1.5974416291298239,1.5974416291298239,1.5974416291298239,-0.023809448115969186,0.023809448115969186,0.024344477601118797,1.901710179352792,1.1904724057984595
9,119667,0,1,2,-50.606169829881807,-295.69980998204124,-47.723798218033487,-302.02558008445283,0,1,1,1.5974376155044943,1.5974376155044943,1.5974376155044943,1.5974376155044943,-0.02558008445285509,0.02558008445285509,0.026067332333411741,2.043129455638621,1.2790042226427545
10,119668,0,1,2,-49.030922899611085,-295.96508350789429,-46.031168083434011,-302.02721217798234,0,1,1,1.5974276540977228,1.5974276540977228,1.5974276540977228,1.5974276540977228,-0.02721217798233511,0.02721217798233511,0.027667219740351356,2.1734742818605639,1.3606088991167555
11,119669,0,1,2,-47.454302588311315,-296.2219627936189,-44.334681766900708,-302.028743797228,0,1,1,1.5974035843550445,1.5974035843550445,1.5974035843550445,1.5974035843550445,-0.028743797228003128,0.028743797228003128,0.029173036253780538,2.2957722359993396,1.4371898614001564
12,119670,0,1,2,-45.876376581446152,-296.47043729895842,-42.634605485127302,-302.03019176004938,0,1,1,1.5973472029424134,1.5973472029424134,1.5973472029424134,1.5973472029424134,-0.030191760049376622,0.030191760049376622,0.030598502748318879,2.4113361733390128,1.5095880024688313
13,119671,0,1,2,-44.297240913283972,-296.71049302282017,-40.931097535892093,-302.03156551416015,0,1,1,1.5972196159829339,1.5972196159829339,1.5972196159829339,1.5972196159829339,-0.031565514160206476,0.031565514160206476,0.031951908766927772,2.5208529202634424,1.5782757080103238
14,119672,0,1,2,-42.717052196480495,-296.94210866619983,-39.224319895501971,-302.03287171163015,0,1,1,1.5969377119055346,1.5969377119055346,1.5969377119055346,1.5969377119055346,-0.032871711630093614,0.032871711630093614,0.033239450484245481,2.624703797849012,1.6435855815046805
