arc_coordinate,relative_angle_deg,active,facet_length,active_length,average_penetration,maximum_penetration,integrated_normal_force_kn,average_pressure_mpa
-64.91295042281963,-12.39746031656506,0,2.275715092664436,0.0,0.0,0.0,0.0,0.0
-62.637229874978395,-11.962829707423383,0,2.275715090305548,0.0,0.0,0.0,0.0,0.0
-60.36150933422615,-11.528199099635607,0,2.2757150784862756,0.0,0.0,0.0,0.0,0.0
-58.08578882722504,-11.093568498293822,0,2.275715022803756,0.0,0.0,0.0,0.0,0.0
-55.81006847138488,-10.65893792582165,1,2.275714776166285,2.275714776166285,7.186486072896514e-09,1.4372972145793028e-08,0.0029897645179491074,1.313769435986053
-53.53434875239236,-10.22430747497842,1,2.2757137491179007,2.2757137491179007,5.314632289810106e-09,1.0629264579620212e-08,0.0023414489531354073,1.028885532744611
-51.25863155951009,-9.789677506586711,1,2.2757097239826463,2.2757097239826463,5.875818942513433e-09,1.1751637885026867e-08,0.00292932906137023,1.2872156015766834
-48.98292379824358,-9.355049339500924,1,2.275694886021003,2.275694886021003,3.5725236102734925e-09,7.145047220546985e-09,0.003128964508946502,1.3749490444289831
-46.7072491364994,-8.920427493958247,1,2.2756435254149525,2.2756435254149525,4.2508361275395146e-09,8.501672255079029e-09,0.003400122942034137,1.4941368909764288
-44.431683669012315,-8.4858265029825,1,2.2754764990769387,2.2754764990769387,1.7366517113259763e-09,3.473303422651952e-09,0.0036271351065276353,1.5940112358879581
-42.15645672987351,-8.051290166158761,1,2.274966473587156,2.274966473587156,2.3361224066320574e-09,4.672244813264115e-09,0.003843881127182406,1.689642977956239
-39.882215239570584,-7.616942036199093,1,2.273505615566466,2.273505615566466,5.665867774951039e-10,1.1331735549902078e-09,0.0040416605399033875,1.7777218196561915
-37.61066577836117,-7.1831080459240395,1,2.269582454009415,2.269582454009415,9.015082014229847e-10,1.8030164028459694e-09,0.0042201987044476474,1.8594604029442945
-35.34598019513986,-6.750584959781693,1,2.2597779575480765,2.2597779575480765,1.1436895874794574e-10,2.2873791749589145e-10,0.004371518945589561,1.934490479911037
-33.097488106022595,-6.321154603198452,1,2.237195694213336,2.237195694213336,2.3300117391045205e-10,4.660023478209041e-10,0.004479562050122376,2.0023112245875843
-30.883919134733873,-5.8983940708119205,1,2.1899322021227703,2.1899322021227703,1.0857093002414331e-11,2.1714186004828662e-11,0.004515885869564749,2.062112181001475
-28.737521315572856,-5.488462283498553,1,2.10285426887926,2.10285426887926,3.717559593496844e-11,7.435119186993688e-11,0.004444286906415232,2.1134545423273035
-26.703494255060356,-5.099991730222662,1,1.9651920334269615,1.9651920334269615,0.0,0.0,0.004240300114201501,2.1577026784538393
-24.829558867733148,-4.742096434309121,1,1.7826726047527703,1.7826726047527703,3.751665644813329e-12,4.376943252282217e-12,0.003917191768955831,2.19737026221878
-23.148679363876656,-4.421072096172385,1,1.579081957280041,1.579081957280041,3.6948222259525205e-13,7.389644451905042e-13,0.003526002551318879,2.232944613839041
-21.66883062353442,-4.138441805707847,1,1.380612482186221,1.380612482186221,4.860112312599085e-12,9.72022462519817e-12,0.0031262381186642177,2.264384944364527
-20.37622273857851,-3.8915718844634957,1,1.204601260162644,1.204601260162644,2.813749233609997e-12,5.6274984672199935e-12,0.0027598006123343575,2.2910490828821914
-19.245595114718483,-3.675637914303215,1,1.0566526321280418,1.0566526321280418,1.4296119843493216e-11,2.859223968698643e-11,0.002444210429874284,2.313163622137367
-18.249710050420376,-3.4854378774218944,1,0.9351165717103175,0.9351165717103175,1.0743406164692713e-11,2.148681232938543e-11,0.0021804096409897273,2.331698214910022
