arc_coordinate,relative_angle_deg,active,facet_length,active_length,average_penetration,maximum_penetration,integrated_normal_force_kn,average_pressure_mpa
-65.41558446905711,-12.493456348195028,0,1.8517960135416398,0.0,0.0,0.0,0.0,0.0
-63.563785516167925,-12.139788799837378,0,1.851796012504878,0.0,0.0,0.0,0.0,0.0
-61.711986565768214,-11.78612125195518,0,1.8517960085624339,0.0,0.0,0.0,0.0,0.0
-59.860187624537176,-11.43245370582407,0,1.8517959941676396,0.0,0.0,0.0,0.0,0.0
-58.0083887157346,-11.07878616588634,0,1.8517959437058245,0.0,0.0,0.0,0.0,0.0
-56.156589917073774,-10.725118646984136,1,1.8517957738848958,1.8517957738848958,4.263256414560601e-13,8.526512829121202e-13,0.002442009273609506,1.318724941512528
-54.30479147763974,-10.371451196689195,1,1.8517952252562133,1.8517952252562133,2.2737367544323206e-13,4.547473508864641e-13,0.0018156442014016856,0.9804778501631973
-52.45299416320259,-10.017783961252833,1,1.8517935239015484,1.8517935239015484,2.8421709430404e-13,5.684341886080801e-13,0.002266476529949952,1.2239358765953057
-50.601200231542705,-9.664117371879337,1,1.8517884597336705,1.8517884597336705,8.526512829121202e-14,1.7053025658242404e-13,0.0023922746087191695,1.2918725117572194
-48.749416065527114,-9.310452647606516,1,1.851773992706509,1.851773992706509,1.1368683772161603e-13,2.2737367544323206e-13,0.002584627153852662,1.3957573462164419
-46.89765896342371,-8.956793092160177,1,1.8517343321668274,1.8517343321668274,5.684341886080802e-14,1.1368683772161603e-13,0.0027438315603096654,1.4817630761854161
-45.04597387127536,-8.603147289602202,1,1.851629973482242,1.851629973482242,8.526512829121203e-14,1.7053025658242404e-13,0.0028988736790067165,1.5655793654900663
-43.19447270628771,-8.249536614544377,1,1.8513664795969405,1.8513664795969405,0.0,0.0,0.0030430989854972382,1.6437042687300618
-41.34342203349428,-7.896011977157993,1,1.8507289933820825,1.8507289933820825,0.0,0.0,0.0031787280607317838,1.7175545809777757
-39.49342882342037,-7.542689300274346,1,1.8492515642145213,1.8492515642145213,0.0,0.0,0.003304852198143555,1.787129594532644
-37.64581133572289,-7.189820352942246,1,1.8459775711749735,1.8459775711749735,0.0,0.0,0.003420083352052291,1.8527220511543874
-35.80328810387989,-6.837924336810885,1,1.8390631006311722,1.8390631006311722,0.0,0.0,0.0035206979660062756,1.9143975890756337
-33.97113913699865,-6.488009659339054,1,1.825229138350957,1.825229138350957,0.0,0.0,0.003599384932683225,1.972018119289487
-32.158911583463556,-6.141899691556123,1,1.7992204570737214,1.7992204570737214,0.0,0.0,0.0036436807912765983,2.0251441544871795
-30.382279114019894,-5.8025878840727,1,1.7540392868861623,1.7540392868861623,0.0,0.0,0.0036363596435022402,2.0731346616287283
-28.663883130147738,-5.474398426045682,1,1.6827479764382307,1.6827479764382307,2.842170943040401e-14,5.684341886080802e-14,0.0035597706905604264,2.11545088177445
-27.0313895552305,-5.162615119629077,1,1.5822351335622271,1.5822351335622271,0.0,0.0,0.003405391778978194,2.1522665669237995
-25.511585039708606,-4.8723538382146465,1,1.4573706306076504,1.4573706306076504,0.0,0.0,0.0031833566686168303,2.184315095803413
-24.123545455770845,-4.607257805025551,1,1.3187060425567478,1.3187060425567478,0.0,0.0,0.002917980697158701,2.212760541766557
-22.873841633818603,-4.368581956228112,1,1.1806997776550883,1.1806997776550883,0.0,0.0,0.002642779062366,2.238315880447317
-21.757209099279073,-4.155320851241074,1,1.0525639895319063,1.0525639895319063,0.0,0.0,0.0023798988215697485,2.2610490623264923
-20.761371285620367,-3.9651298385671434,1,0.9391107144715559,0.9391107144715559,1.1368683772161603e-13,2.2737367544323206e-13,0.0021423319281283788,2.2812346777811854
-19.870844962140133,-3.7950518389647456,1,0.8419412727420796,0.8419412727420796,5.684341886080802e-14,1.1368683772161603e-13,0.001935559089071422,2.2989241075777045
-19.070181873056313,-3.642136452910046,1,0.7593844263823837,0.7593844263823837,3.126388037344441e-13,6.252776074688882e-13,0.0017574897965384362,2.3143611265652453
-18.34556897956441,-3.5037455843172167,1,0.6898410058826074,0.6898410058826074,1.9895196601282805e-13,3.979039320256561e-13,0.0016058331649664932,2.32783083532695
-17.68524179781199,-3.3776323822766114,1,0.6308130894283994,0.6308130894283994,7.673861546209083e-13,1.5347723092418164e-12,0.0014759000063151652,2.3396787908325223
-17.07930693127917,-3.2619073472360998,1,0.5810564366014613,0.5810564366014613,5.968558980384842e-13,1.1937117960769683e-12,0.0013655115257057942,2.3500497364636885
-16.519851854036283,-3.1550592980588235,1,0.5378535550259887,0.5378535550259887,1.2505552149377765e-12,2.5011104298755527e-12,0.001268958644644696,2.3593013986555893
-16.000194950781754,-3.0558121402210814,1,0.5014601210703087,0.5014601210703087,1.0231815394945443e-12,2.0463630789890885e-12,0.001187252009465075,2.3675900825992358
-15.51476997512351,-2.9631027989695546,1,0.46938972398810375,0.46938972398810375,1.9326762412674725e-12,3.865352482534945e-12,0.0011147610765683625,2.374915810037237
-15.059431748611463,-2.8761396035358473,1,0.4412866413724813,0.4412866413724813,1.5916157281026244e-12,3.183231456205249e-12,0.0010509826969753312,2.3816327041004115
-14.63039789588203,-2.794200173437068,1,0.4167809907852443,0.4167809907852443,3.410605131648481e-12,6.821210263296962e-12,0.0009951885648711628,2.3877973968922106
-14.224256562413906,-2.716632892458605,1,0.39550161399243183,0.39550161399243183,2.8990143619012088e-12,5.7980287238024175e-12,0.0009465526986001571,2.39329667721222
-13.838624641914787,-2.642982620824858,1,0.3757621738013819,0.3757621738013819,4.064304448547774e-12,8.128608897095546e-12,0.0009012387997018137,2.3984287470568693
-13.471251397367912,-2.5728194994296465,1,0.3589842693111814,0.3589842693111814,4.149569576838985e-12,8.29913915367797e-12,0.0008627053964388988,2.4031844016292325
-13.120139850283241,-2.505762133475445,1,0.34323878471946573,0.34323878471946573,2.3874235921539366e-12,4.774847184307873e-12,0.0008263403079728628,2.407479413051305
-12.783941692182577,-2.4415530150113116,1,0.3291574962501946,0.3291574962501946,3.069544618483633e-12,6.139089236967266e-12,0.000793795504954333,2.4115978338556943
-12.461079029569788,-2.379890788577748,1,0.316567797777264,0.316567797777264,7.673861546209082e-13,1.5347723092418164e-12,0.0007646345873570035,2.4153896660550345
-12.150262916039,-2.3205292835445044,1,0.3050644014533227,0.3050644014533227,1.1652900866465643e-12,2.3305801732931286e-12,0.0007379291550503849,2.418929090168831
-11.850451321255662,-2.263269486777265,1,0.2945587631374464,0.2945587631374464,6.536993168992922e-13,1.3073986337985843e-12,0.0007134992313815056,2.422264487336179
-11.560688387176388,-2.207928842837032,1,0.2849670824752531,0.2849670824752531,5.115907697472721e-13,1.0231815394945443e-12,0.0006911540430740108,2.4253820373587587
-11.280230049235751,-2.1543652458595246,1,0.2759495729645452,0.2759495729645452,2.5579538487363607e-12,5.115907697472721e-12,0.0006700896607190315,2.428304756989519
-11.008470007625526,-2.1024629011109726,1,0.26757049165891905,0.26757049165891905,1.4495071809506046e-12,2.8990143619012088e-12,0.0006504940575159046,2.431112838650052
-10.744596425430686,-2.0520667591617636,1,0.26017665570840715,0.26017665570840715,7.446487870765848e-12,1.48929757415317e-11,0.00063321895370366,2.433803878290064
