relative_angle_deg,reaction_radial_kn,reaction_tangential_kn,reaction_magnitude_kn
-30.000000000000068,0.0059512253622970345,0.0026966458159590596,0.006533680583681527
-29.5000000000001,0.0023007463373376255,0.0007201898032192721,0.002410831197208447
-29.00000000000013,0.0018837206169268392,0.0010792896171764813,0.0021710065500546486
-28.50000000000006,0.0014903073747286042,0.000954978647243205,0.0017700283296775013
-28.00000000000009,0.0011866115405051267,0.0009791179341214493,0.0015384144035266328
-27.50000000000012,0.000958430334116307,0.0010001559631726059,0.0013852438976671288
-27.000000000000153,0.000780850033034597,0.001037376934252135,0.0012984135234232928
-26.500000000000185,0.0006401195886799538,0.0010806204783512735,0.0012559831631211976
-26.000000000000213,0.0005269029051983092,0.0011297552611662309,0.0012465847831732893
-25.500000000000245,0.00043526340438877444,0.0011837263907903694,0.0012612146524100093
-25.000000000000277,0.0003612727883372102,0.0012424028937178463,0.0012938635855110155
-24.500000000000256,0.00030235789355560695,0.0013057966484301025,0.00134034517302323
-24.000000000000288,0.0002568717590513245,0.001374086391683613,0.0013978900215711582
-23.50000000000037,0.00022383995193491608,0.0014475209192953637,0.001464725617950311
-23.0000000000003,0.00020279977063265655,0.001526387328656149,0.0015398006442558442
-22.50000000000033,0.0001936974791148991,0.0016109790431481051,0.001622581951975878
-22.000000000000362,0.00019681993870533442,0.001701570034014341,0.0017129152544500083
-21.500000000000394,0.00021274643948272133,0.0017983883832069212,0.001810928442641006
-21.000000000000423,0.00024231106097090795,0.001901588041425698,0.0019169641962128738
-20.500000000000405,0.0002865685796023151,0.0020112175915593,0.0020315308886189446
-20.000000000000437,0.0003467584047917202,0.0021271858192601417,0.0021552635339918734
-19.500000000000465,0.0004242618374241887,0.0022492245106748403,0.0022888881593723675
-19.000000000000497,0.000520548484948081,0.0023768498063443024,0.002433184277259059
-18.50000000000053,0.0006371085100050287,0.0025093240433731,0.002588940788849979
-18.000000000000508,0.000775364232941863,0.0026456221061076615,0.0027569015256354488
-17.50000000000054,0.0009365564496417392,0.0027844119053024034,0.0029377010810760344
-17.000000000000572,0.0011216180559766014,0.002924059986438064,0.0031317972264788955
-16.5000000000006,0.0013310574228898372,0.00306266643529218,0.0033394070666654947
-16.000000000000632,0.001564871053175844,0.003198124904380217,0.0035604528247239345
